traj_len,frame,region,particle,particle_resid
17542,0,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,1,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,2,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,3,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,4,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,5,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,6,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,7,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,8,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,9,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,10,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,11,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,12,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,13,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,14,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,15,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,16,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,17,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,18,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,19,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,20,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,21,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,22,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,23,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,24,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,25,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,26,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,27,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,28,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,29,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,30,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,31,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,32,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,33,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,34,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,35,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,36,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,37,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,38,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,39,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,40,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,41,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,42,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,43,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,44,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,45,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,46,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,47,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,48,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,49,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,50,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,51,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,52,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,53,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,54,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,55,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,56,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,57,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,58,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,59,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,60,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,61,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,62,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,63,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,64,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,65,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,66,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,67,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,68,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,69,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,70,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,71,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,72,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,73,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,74,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,75,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,76,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,77,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,78,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,79,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,80,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,81,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,82,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,83,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,84,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,85,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,86,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,87,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,88,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,89,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,90,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,91,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,92,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,93,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,94,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,95,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,96,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,97,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,98,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,99,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,100,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,101,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,102,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,103,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,104,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,105,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,106,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,107,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,108,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,109,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,110,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,111,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,112,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,113,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,114,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,115,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,116,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,117,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,118,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,119,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,120,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,121,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,122,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,123,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,124,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,125,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,126,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,127,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,128,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,129,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,130,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,131,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,132,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,133,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,134,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,135,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,136,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,137,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,138,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,139,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,140,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,141,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,142,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,143,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,144,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,145,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,146,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,147,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,148,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
17542,149,Channel,"['POT', 'POT']","[np.int64(3281), np.int64(3290)]"
