traj_len,frame,region,particle,particle_resid
10200,0,Channel,POT,3281
10200,0,Channel,POT,3290
10200,107,Channel,POT,3070
10200,462,Channel,POT,3061
10200,824,Channel,POT,2971
10200,1341,Channel,POT,2915
10200,1919,Channel,POT,3142
10200,2442,Channel,POT,3298
10200,2836,Channel,POT,3047
10200,3605,Channel,POT,3136
10200,3776,Channel,POT,3191
10200,4869,Channel,POT,3004
10200,4976,Channel,POT,2865
10200,5152,Channel,POT,2917
10200,5205,Channel,POT,2942
10200,5249,Channel,POT,3010
10200,5290,Channel,POT,3285
10200,5533,Channel,POT,3202
10200,5594,Channel,POT,2938
10200,5877,Channel,POT,3024
10200,6157,Channel,POT,2873
10200,6273,Channel,POT,2944
10200,6435,Channel,POT,2992
10200,6655,Channel,POT,3038
10200,6667,Channel,POT,3242
10200,6800,Channel,POT,3203
10200,6877,Channel,POT,3045
10200,6912,Channel,POT,3046
10200,7052,Channel,POT,2898
10200,7089,Channel,POT,3224
10200,7136,Channel,POT,3111
10200,7203,Channel,POT,2995
10200,7506,Channel,POT,3060
10200,7593,Channel,POT,3137
10200,7746,Channel,POT,3023
10200,7797,Channel,POT,2991
10200,7846,Channel,POT,3154
10200,7884,Channel,POT,3217
10200,7961,Channel,POT,3275
10200,8023,Channel,POT,3012
10200,8098,Channel,POT,2998
10200,8099,Channel,CLA,3319
10200,8186,Channel,POT,3085
10200,8205,Channel,POT,2902
10200,8212,Channel,POT,3291
10200,8221,Channel,POT,3214
10200,8268,Channel,CLA,3609
10200,8339,Channel,POT,2871
10200,8399,Channel,POT,3195
10200,8414,Channel,POT,3277
10200,8465,Channel,POT,2914
10200,8527,Channel,POT,2910
10200,8579,Channel,POT,3223
10200,8629,Channel,POT,3159
10200,8662,Channel,POT,2866
10200,8675,Channel,POT,2957
10200,8729,Channel,POT,3265
10200,8903,Channel,POT,2996
10200,8925,Channel,POT,3063
10200,9001,Channel,POT,3280
10200,9037,Channel,POT,3031
10200,9097,Channel,POT,2913
10200,9219,Channel,POT,3029
10200,9227,Channel,POT,3027
10200,9259,Channel,POT,3135
10200,9274,Channel,CLA,3343
10200,9316,Channel,POT,3090
10200,9318,Channel,POT,3075
10200,9381,Channel,POT,2958
10200,9410,Channel,CLA,3406
10200,9416,Channel,POT,2973
10200,9449,Channel,POT,3077
10200,9533,Channel,POT,2960
10200,9617,Channel,POT,3011
10200,9654,Channel,CLA,3396
10200,9668,Channel,POT,3189
10200,9674,Channel,POT,2885
