traj_len,frame,region,particle,particle_resid
15697,0,Channel,POT,3281
15697,0,Channel,POT,3290
15697,1408,Channel,POT,2892
15697,4684,Channel,POT,3267
15697,6021,Channel,POT,3061
15697,6118,Channel,CLA,3400
15697,6506,Channel,CLA,3439
15697,7309,Channel,POT,2936
15697,7694,Channel,POT,2933
15697,7736,Channel,CLA,3409
15697,8044,Channel,POT,3211
15697,8567,Channel,CLA,3583
15697,8999,Channel,POT,3149
15697,9065,Channel,POT,3208
15697,9143,Channel,CLA,3616
15697,9143,Channel,POT,3064
15697,9473,Channel,POT,3108
15697,9676,Channel,POT,2942
15697,9842,Channel,CLA,3610
15697,9931,Channel,POT,3178
15697,10029,Channel,POT,3237
15697,10036,Channel,POT,3275
15697,10128,Channel,POT,2901
15697,10171,Channel,POT,3155
15697,10250,Channel,POT,3010
15697,10307,Channel,POT,2970
15697,10462,Channel,POT,2908
15697,10626,Channel,CLA,3413
15697,10701,Channel,POT,3258
15697,10863,Channel,POT,3070
15697,11019,Channel,POT,2903
15697,11226,Channel,POT,3086
15697,11275,Channel,POT,3191
15697,11398,Channel,POT,3225
15697,11455,Channel,POT,3248
15697,11547,Channel,POT,2914
15697,11726,Channel,POT,2944
15697,11783,Channel,POT,2894
15697,11814,Channel,POT,3212
15697,11852,Channel,POT,3091
15697,11854,Channel,POT,2923
15697,11903,Channel,POT,3037
15697,11915,Channel,POT,2868
15697,11956,Channel,POT,3032
15697,12012,Channel,POT,2990
15697,12052,Channel,POT,2945
15697,12142,Channel,POT,2884
15697,12221,Channel,POT,3157
15697,12278,Channel,POT,3138
15697,12332,Channel,POT,3097
15697,12403,Channel,POT,3063
15697,12412,Channel,POT,2975
15697,12509,Channel,POT,3057
15697,12528,Channel,POT,3007
15697,12589,Channel,POT,2994
15697,12648,Channel,POT,3253
15697,12690,Channel,POT,3298
15697,12727,Channel,POT,3295
15697,12760,Channel,POT,2964
15697,12789,Channel,POT,3240
15697,12830,Channel,POT,3028
15697,12841,Channel,POT,2949
15697,12871,Channel,POT,3259
15697,12893,Channel,POT,2974
15697,12942,Channel,POT,3213
15697,13011,Channel,POT,3145
15697,13053,Channel,POT,3059
15697,13148,Channel,POT,3151
15697,13181,Channel,POT,3197
15697,13189,Channel,POT,3006
15697,13245,Channel,POT,3177
15697,13249,Channel,CLA,3326
15697,13307,Channel,POT,3299
15697,13331,Channel,POT,2930
15697,13345,Channel,POT,3124
15697,13387,Channel,POT,2876
15697,13420,Channel,CLA,3391
15697,13427,Channel,POT,3121
15697,13473,Channel,POT,2982
15697,13493,Channel,POT,3038
15697,13503,Channel,POT,3179
15697,13531,Channel,POT,3242
15697,13585,Channel,POT,3139
15697,13622,Channel,POT,3118
15697,13688,Channel,POT,3236
15697,13777,Channel,POT,2925
15697,13861,Channel,POT,3163
15697,13898,Channel,POT,3280
15697,14006,Channel,POT,2931
15697,14044,Channel,POT,3130
15697,14097,Channel,POT,3144
15697,14151,Channel,POT,3218
15697,14189,Channel,POT,2909
15697,14209,Channel,POT,3104
15697,14277,Channel,POT,3187
15697,14302,Channel,POT,3052
15697,14337,Channel,POT,3004
15697,14381,Channel,POT,3073
15697,14435,Channel,POT,3203
15697,14470,Channel,POT,3231
15697,14541,Channel,POT,2960
15697,14592,Channel,POT,2926
15697,14615,Channel,POT,3266
15697,14673,Channel,POT,2919
15697,14725,Channel,POT,3033
15697,14744,Channel,POT,2954
15697,14757,Channel,POT,3030
15697,14801,Channel,POT,3209
15697,14821,Channel,POT,2985
15697,14878,Channel,POT,2916
15697,14916,Channel,POT,3099
15697,14929,Channel,POT,2865
15697,14972,Channel,POT,3210
15697,14990,Channel,POT,3062
15697,15079,Channel,POT,3162
15697,15115,Channel,POT,3123
15697,15124,Channel,CLA,3641
15697,15174,Channel,CLA,3431
15697,15198,Channel,POT,3025
15697,15229,Channel,POT,2938
15697,15292,Channel,CLA,3445
15697,15331,Channel,POT,3185
15697,15410,Channel,POT,3277
