traj_len,frame,region,particle,particle_resid
8549,175,VSD2,CLA,3464
8549,891,VSD3,CLA,3351
8549,1062,VSD2,CLA,3561
8549,1371,VSD2,CLA,3502
8549,1478,VSD1,CLA,3437
8549,2365,VSD2,CLA,3538
8549,3020,VSD3,CLA,3307
8549,3826,VSD2,CLA,3436
8549,3916,VSD2,CLA,3578
8549,4192,VSD3,POT,3214
8549,4255,VSD3,CLA,3339
8549,4298,VSD2,CLA,3571
8549,4887,VSD3,CLA,3391
8549,5075,VSD3,POT,2982
8549,5405,VSD2,CLA,3450
8549,6683,VSD3,CLA,3480
8549,7059,VSD3,POT,3197
8549,7320,VSD3,POT,3175
8549,8338,VSD3,POT,3133
