traj_len,frame,region,particle,particle_resid
8549,787,VSD4,['P'],[np.int64(2214)]
8549,815,VSD4,['P'],[np.int64(2214)]
8549,817,VSD4,['P'],[np.int64(2214)]
8549,818,VSD4,['P'],[np.int64(2214)]
8549,819,VSD4,['P'],[np.int64(2214)]
8549,820,VSD4,['P'],[np.int64(2214)]
8549,825,VSD4,['P'],[np.int64(2214)]
8549,826,VSD4,['P'],[np.int64(2214)]
8549,827,VSD4,['P'],[np.int64(2214)]
8549,828,VSD4,['P'],[np.int64(2214)]
8549,830,VSD4,['P'],[np.int64(2214)]
8549,834,VSD4,['P'],[np.int64(2214)]
8549,835,VSD4,['P'],[np.int64(2214)]
8549,836,VSD4,['P'],[np.int64(2214)]
8549,839,VSD4,['P'],[np.int64(2214)]
8549,840,VSD4,['P'],[np.int64(2214)]
8549,841,VSD4,['P'],[np.int64(2214)]
8549,857,VSD4,['P'],[np.int64(2214)]
8549,864,VSD4,['P'],[np.int64(2214)]
8549,877,VSD4,['P'],[np.int64(2214)]
8549,915,VSD4,['P'],[np.int64(2214)]
8549,916,VSD4,['P'],[np.int64(2214)]
8549,974,VSD4,['P'],[np.int64(2214)]
8549,984,VSD4,['P'],[np.int64(2214)]
8549,1021,VSD4,['P'],[np.int64(2214)]
8549,1055,VSD4,['P'],[np.int64(2214)]
8549,1056,VSD4,['P'],[np.int64(2214)]
8549,1058,VSD4,['P'],[np.int64(2214)]
8549,1059,VSD4,['P'],[np.int64(2214)]
8549,1060,VSD4,['P'],[np.int64(2214)]
8549,1115,VSD4,['P'],[np.int64(2214)]
8549,1121,VSD4,['P'],[np.int64(2214)]
8549,1161,VSD4,['P'],[np.int64(2214)]
8549,1176,VSD4,['P'],[np.int64(2214)]
8549,1189,VSD4,['P'],[np.int64(2214)]
8549,1200,VSD4,['P'],[np.int64(2214)]
8549,1201,VSD4,['P'],[np.int64(2214)]
8549,1212,VSD4,['P'],[np.int64(2214)]
8549,1213,VSD4,['P'],[np.int64(2214)]
8549,1221,VSD4,['P'],[np.int64(2214)]
8549,1232,VSD4,['P'],[np.int64(2214)]
8549,1233,VSD4,['P'],[np.int64(2214)]
8549,1235,VSD4,['P'],[np.int64(2214)]
8549,1239,VSD4,['P'],[np.int64(2214)]
8549,1241,VSD4,['P'],[np.int64(2214)]
8549,1250,VSD4,['P'],[np.int64(2214)]
8549,1268,VSD4,['P'],[np.int64(2214)]
8549,1269,VSD4,['P'],[np.int64(2214)]
8549,1271,VSD4,['P'],[np.int64(2214)]
8549,1273,VSD4,['P'],[np.int64(2214)]
8549,1274,VSD4,['P'],[np.int64(2214)]
8549,1277,VSD4,['P'],[np.int64(2214)]
8549,1283,VSD4,['P'],[np.int64(2214)]
8549,1284,VSD4,['P'],[np.int64(2214)]
8549,1285,VSD4,['P'],[np.int64(2214)]
8549,1288,VSD4,['P'],[np.int64(2214)]
8549,1289,VSD4,['P'],[np.int64(2214)]
