traj_len,frame,region,particle,particle_resid
4547,180,VSD3,['P'],[2209]
4547,584,VSD2,['P'],[2206]
4547,1021,VSD3,['P'],[2211]
4547,1623,VSD2,['P'],[2206]
4547,1624,VSD2,['P'],[2206]
4547,1625,VSD2,['P'],[2206]
4547,1628,VSD2,['P'],[2206]
4547,1641,VSD2,['P'],[2206]
4547,1643,VSD2,['P'],[2206]
4547,1911,VSD2,['P'],[2206]
4547,1912,VSD2,['P'],[2206]
4547,1913,VSD2,['P'],[2206]
4547,1914,VSD2,['P'],[2206]
4547,1915,VSD2,['P'],[2206]
4547,2944,VSD2,['P'],[2206]
4547,2978,VSD2,['P'],[2206]
4547,3193,VSD2,['P'],[2206]
4547,3195,VSD2,['P'],[2206]
4547,3196,VSD2,['P'],[2206]
4547,3197,VSD2,['P'],[2206]
4547,3199,VSD2,['P'],[2206]
4547,3200,VSD2,['P'],[2206]
4547,3201,VSD2,['P'],[2206]
4547,3202,VSD2,['P'],[2206]
4547,3203,VSD2,['P'],[2206]
4547,3205,VSD2,['P'],[2206]
4547,3209,VSD2,['P'],[2206]
4547,3210,VSD2,['P'],[2206]
4547,3211,VSD2,['P'],[2206]
4547,3212,VSD2,['P'],[2206]
4547,3250,VSD2,['P'],[2206]
4547,3251,VSD2,['P'],[2206]
4547,3252,VSD2,['P'],[2206]
4547,3253,VSD2,['P'],[2206]
4547,3255,VSD2,['P'],[2206]
4547,3272,VSD2,['P'],[2206]
4547,3273,VSD2,['P'],[2206]
4547,3276,VSD2,['P'],[2206]
4547,3277,VSD2,['P'],[2206]
4547,3278,VSD2,['P'],[2206]
4547,3279,VSD2,['P'],[2206]
4547,3280,VSD2,['P'],[2206]
4547,3281,VSD2,['P'],[2206]
4547,3285,VSD2,['P'],[2206]
4547,3287,VSD2,['P'],[2206]
4547,3288,VSD2,['P'],[2206]
4547,3290,VSD2,['P'],[2206]
4547,3291,VSD2,['P'],[2206]
4547,3292,VSD2,['P'],[2206]
4547,3293,VSD2,['P'],[2206]
4547,3294,VSD2,['P'],[2206]
4547,3295,VSD2,['P'],[2206]
4547,3297,VSD2,['P'],[2206]
4547,3298,VSD2,['P'],[2206]
4547,3299,VSD2,['P'],[2206]
4547,3301,VSD2,['P'],[2206]
4547,3451,VSD1,['P'],[2215]
4547,3452,VSD1,['P'],[2215]
4547,3454,VSD1,['P'],[2215]
4547,3464,VSD1,['P'],[2215]
4547,3465,VSD1,['P'],[2215]
4547,3468,VSD1,['P'],[2215]
4547,3469,VSD1,['P'],[2215]
4547,3471,VSD1,['P'],[2215]
4547,3473,VSD1,['P'],[2215]
4547,3476,VSD1,['P'],[2215]
4547,3477,VSD1,['P'],[2215]
4547,3478,VSD1,['P'],[2215]
4547,3482,VSD1,['P'],[2215]
4547,3483,VSD1,['P'],[2215]
4547,3485,VSD1,['P'],[2215]
4547,3486,VSD1,['P'],[2215]
4547,3487,VSD1,['P'],[2215]
4547,3492,VSD1,['P'],[2215]
4547,3493,VSD1,['P'],[2215]
4547,3494,VSD1,['P'],[2215]
4547,3496,VSD1,['P'],[2215]
4547,3510,VSD1,['P'],[2215]
4547,3518,VSD1,['P'],[2215]
4547,3525,VSD2,['P'],[2206]
4547,3527,VSD2,['P'],[2206]
4547,3534,VSD2,['P'],[2206]
4547,3535,VSD1,['P'],[2215]
4547,3536,VSD1,['P'],[2215]
4547,3536,VSD2,['P'],[2206]
4547,3537,VSD1,['P'],[2215]
4547,3547,VSD1,['P'],[2215]
4547,3550,VSD1,['P'],[2215]
4547,3551,VSD1,['P'],[2215]
4547,3552,VSD1,['P'],[2215]
4547,3553,VSD1,['P'],[2215]
4547,3558,VSD1,['P'],[2215]
4547,3560,VSD1,['P'],[2215]
4547,3582,VSD1,['P'],[2215]
4547,3585,VSD1,['P'],[2215]
4547,3592,VSD1,['P'],[2215]
4547,3593,VSD1,['P'],[2215]
4547,3594,VSD1,['P'],[2215]
4547,3597,VSD1,['P'],[2215]
4547,3601,VSD1,['P'],[2215]
4547,3602,VSD1,['P'],[2215]
4547,3603,VSD1,['P'],[2215]
4547,3604,VSD1,['P'],[2215]
4547,3605,VSD1,['P'],[2215]
4547,3606,VSD1,['P'],[2215]
4547,3636,VSD2,['P'],[2206]
4547,3637,VSD2,['P'],[2206]
4547,3668,VSD1,['P'],[2215]
4547,3675,VSD1,['P'],[2215]
4547,3681,VSD1,['P'],[2215]
4547,3699,VSD1,['P'],[2215]
4547,3700,VSD1,['P'],[2215]
4547,3733,VSD1,['P'],[2215]
4547,3734,VSD1,['P'],[2215]
4547,3735,VSD1,['P'],[2215]
4547,3736,VSD1,['P'],[2215]
4547,3737,VSD1,['P'],[2215]
4547,3738,VSD1,['P'],[2215]
4547,3739,VSD1,['P'],[2215]
4547,3762,VSD1,['P'],[2215]
4547,3777,VSD1,['P'],[2215]
4547,3788,VSD1,['P'],[2215]
4547,3798,VSD1,['P'],[2215]
4547,3802,VSD1,['P'],[2215]
4547,3818,VSD1,['P'],[2215]
4547,3820,VSD1,['P'],[2215]
4547,3822,VSD1,['P'],[2215]
4547,3824,VSD1,['P'],[2215]
4547,3826,VSD1,['P'],[2215]
4547,3832,VSD2,['P'],[2206]
