frame,particle_resid,type,region
6353,3281,POT,Channel
3721,3290,POT,Channel
5134,3142,POT,Channel
5163,3191,POT,Channel
5207,2865,POT,Channel
5241,2917,POT,Channel
5370,2942,POT,Channel
5538,3010,POT,Channel
5605,3285,POT,Channel
6048,3202,POT,Channel
6057,2938,POT,Channel
6396,3024,POT,Channel
6596,2873,POT,Channel
6662,2944,POT,Channel
6734,2992,POT,Channel
6990,3038,POT,Channel
6784,3242,POT,Channel
7005,3203,POT,Channel
7057,3046,POT,Channel
7089,2898,POT,Channel
7158,3224,POT,Channel
7245,3111,POT,Channel
7580,2995,POT,Channel
7707,3060,POT,Channel
7810,3137,POT,Channel
7937,3023,POT,Channel
7884,2991,POT,Channel
7949,3154,POT,Channel
8155,3217,POT,Channel
8428,3275,POT,Channel
8175,2998,POT,Channel
8508,3319,CLA,Channel
8215,3085,POT,Channel
8226,2902,POT,Channel
8227,3291,POT,Channel
8262,3214,POT,Channel
8289,3609,CLA,Channel
8410,2871,POT,Channel
8920,3195,POT,Channel
8479,3277,POT,Channel
8502,2914,POT,Channel
8560,2910,POT,Channel
8590,3223,POT,Channel
8658,3159,POT,Channel
8793,2866,POT,Channel
8746,2957,POT,Channel
8912,3265,POT,Channel
8926,2996,POT,Channel
9080,3063,POT,Channel
9042,3280,POT,Channel
9114,3031,POT,Channel
9132,2913,POT,Channel
9246,3029,POT,Channel
9252,3027,POT,Channel
9294,3135,POT,Channel
9315,3343,CLA,Channel
9379,3090,POT,Channel
9351,3075,POT,Channel
9430,2958,POT,Channel
9499,3406,CLA,Channel
9445,2973,POT,Channel
9490,3077,POT,Channel
9546,2960,POT,Channel
9630,3011,POT,Channel
9699,3396,CLA,Channel
9717,3189,POT,Channel
9697,2885,POT,Channel
