frame,particle_resid,type,region
393,3281,POT,Channel
1571,3290,POT,Channel
4737,2892,POT,Channel
6045,3267,POT,Channel
7366,3061,POT,Channel
7714,2936,POT,Channel
8057,2933,POT,Channel
9039,3211,POT,Channel
9096,3149,POT,Channel
9188,3208,POT,Channel
9498,3064,POT,Channel
9726,3108,POT,Channel
9975,2942,POT,Channel
10683,3610,CLA,Channel
10012,3178,POT,Channel
10056,3237,POT,Channel
10217,3275,POT,Channel
10191,2901,POT,Channel
10264,3155,POT,Channel
10345,3010,POT,Channel
10520,2970,POT,Channel
10699,2908,POT,Channel
12841,3413,CLA,Channel
10830,3258,POT,Channel
11014,3070,POT,Channel
11240,2903,POT,Channel
11313,3086,POT,Channel
11494,3191,POT,Channel
11483,3225,POT,Channel
11542,3248,POT,Channel
11634,2914,POT,Channel
11793,2944,POT,Channel
11868,2894,POT,Channel
11835,3212,POT,Channel
11879,3091,POT,Channel
11897,2923,POT,Channel
11930,3037,POT,Channel
12082,2868,POT,Channel
11989,3032,POT,Channel
12101,2990,POT,Channel
12125,2945,POT,Channel
12199,2884,POT,Channel
12288,3157,POT,Channel
12327,3138,POT,Channel
12371,3097,POT,Channel
12436,3063,POT,Channel
12457,2975,POT,Channel
12614,3057,POT,Channel
12565,3007,POT,Channel
12616,2994,POT,Channel
12685,3253,POT,Channel
12717,3298,POT,Channel
12772,3295,POT,Channel
12809,2964,POT,Channel
12830,3240,POT,Channel
12851,3028,POT,Channel
12894,2949,POT,Channel
12918,3259,POT,Channel
12926,2974,POT,Channel
12977,3213,POT,Channel
13104,3145,POT,Channel
13086,3059,POT,Channel
13177,3151,POT,Channel
13236,3197,POT,Channel
13240,3006,POT,Channel
13324,3177,POT,Channel
13414,3326,CLA,Channel
13350,3299,POT,Channel
13360,2930,POT,Channel
13390,3124,POT,Channel
13420,2876,POT,Channel
13811,3391,CLA,Channel
13488,3121,POT,Channel
13500,2982,POT,Channel
13528,3038,POT,Channel
13538,3179,POT,Channel
13602,3242,POT,Channel
13628,3139,POT,Channel
13671,3118,POT,Channel
13735,3236,POT,Channel
13846,2925,POT,Channel
13880,3163,POT,Channel
13977,3280,POT,Channel
14055,2931,POT,Channel
14073,3130,POT,Channel
14154,3144,POT,Channel
14200,3218,POT,Channel
14210,2909,POT,Channel
14252,3104,POT,Channel
14318,3187,POT,Channel
14333,3052,POT,Channel
14448,3004,POT,Channel
14448,3073,POT,Channel
14480,3203,POT,Channel
14511,3231,POT,Channel
14558,2960,POT,Channel
14617,2926,POT,Channel
14646,3266,POT,Channel
14718,2919,POT,Channel
14770,3033,POT,Channel
14769,2954,POT,Channel
14944,3030,POT,Channel
14856,3209,POT,Channel
14854,2985,POT,Channel
14937,2916,POT,Channel
14961,3099,POT,Channel
14970,2865,POT,Channel
14997,3210,POT,Channel
15015,3062,POT,Channel
15118,3162,POT,Channel
15186,3123,POT,Channel
15145,3641,CLA,Channel
15227,3431,CLA,Channel
15223,3025,POT,Channel
15242,2938,POT,Channel
15409,3445,CLA,Channel
15346,3185,POT,Channel
15449,3277,POT,Channel
