frame,particle_resid,type,region
7816,3382,CLA,VSD3
8159,3426,CLA,VSD3
8456,3409,CLA,VSD3
8502,3011,POT,VSD3
11384,3375,CLA,VSD3
10133,3640,CLA,VSD3
10076,2984,POT,VSD3
10682,3610,CLA,VSD3
10384,3226,POT,VSD3
10390,3387,CLA,VSD3
10709,3136,POT,VSD3
10704,3583,CLA,VSD3
10807,3134,POT,VSD3
12238,3557,CLA,VSD3
10814,3251,POT,VSD3
10953,3103,POT,VSD3
11608,3181,POT,VSD3
11116,3266,POT,VSD3
11116,3530,CLA,VSD3
11253,3323,CLA,VSD3
11649,3098,POT,VSD3
11647,3367,CLA,VSD3
11782,3244,POT,VSD3
11583,3342,CLA,VSD3
11595,3158,POT,VSD3
11899,3496,CLA,VSD3
11897,3175,POT,VSD3
11881,3156,POT,VSD3
12278,2899,POT,VSD3
12120,3479,CLA,VSD3
12188,2913,POT,VSD3
12522,3384,CLA,VSD3
12344,3045,POT,VSD3
12340,2905,POT,VSD3
12444,3348,CLA,VSD3
12690,3217,POT,VSD3
12762,3238,POT,VSD3
12841,3413,CLA,VSD3
12696,3467,CLA,VSD3
12785,3296,POT,VSD3
12858,3637,CLA,VSD3
12912,2896,POT,VSD3
13083,2965,POT,VSD3
13038,3493,CLA,VSD3
13027,3002,POT,VSD3
13060,3380,CLA,VSD3
13106,3219,POT,VSD3
13250,2888,POT,VSD3
13324,3363,CLA,VSD3
13388,3508,CLA,VSD3
13481,2954,POT,VSD3
13527,3027,POT,VSD3
13721,2879,POT,VSD3
13593,3408,CLA,VSD3
13649,3527,CLA,VSD3
13732,3502,CLA,VSD3
13791,2941,POT,VSD3
13767,3364,CLA,VSD3
13811,3391,CLA,VSD3
13838,3462,CLA,VSD3
13948,2883,POT,VSD3
13935,3033,POT,VSD3
14123,2981,POT,VSD3
14033,3495,CLA,VSD3
14052,3312,CLA,VSD3
14214,3580,CLA,VSD3
14297,2924,POT,VSD3
14182,3621,CLA,VSD3
14208,3448,CLA,VSD3
14277,3480,CLA,VSD3
14325,3263,POT,VSD3
14247,3552,CLA,VSD3
14368,3037,POT,VSD3
14482,3214,POT,VSD3
14348,3372,CLA,VSD3
14381,3191,POT,VSD3
14435,3568,CLA,VSD3
14465,2987,POT,VSD3
14500,3441,CLA,VSD3
14487,3001,POT,VSD3
14486,2993,POT,VSD3
14493,3077,POT,VSD3
14517,2910,POT,VSD3
14502,2890,POT,VSD3
14571,2980,POT,VSD3
14633,3182,POT,VSD3
14581,3416,CLA,VSD3
14591,3189,POT,VSD3
14554,3505,CLA,VSD3
14598,3039,POT,VSD3
14610,3220,POT,VSD3
14665,3642,CLA,VSD3
14688,2937,POT,VSD3
14718,3535,CLA,VSD3
14699,2886,POT,VSD3
14720,3398,CLA,VSD3
14747,3102,POT,VSD3
14744,3365,CLA,VSD3
14820,3374,CLA,VSD3
14769,3111,POT,VSD3
14804,3385,CLA,VSD3
14816,2939,POT,VSD3
14850,3012,POT,VSD3
14868,3153,POT,VSD3
14861,3434,CLA,VSD3
14867,3543,CLA,VSD3
14898,3311,CLA,VSD3
14881,3207,POT,VSD3
14941,3017,POT,VSD3
14922,3097,POT,VSD3
14929,3040,POT,VSD3
14975,3228,POT,VSD3
14971,3417,CLA,VSD3
15009,2944,POT,VSD3
14991,3331,CLA,VSD3
15002,3386,CLA,VSD3
15027,2929,POT,VSD3
15015,3264,POT,VSD3
15023,3489,CLA,VSD3
15027,3243,POT,VSD3
15078,2972,POT,VSD3
15058,3570,CLA,VSD3
15064,3397,CLA,VSD3
15059,3129,POT,VSD3
15171,3540,CLA,VSD3
15078,3008,POT,VSD3
15099,3284,POT,VSD3
15077,3424,CLA,VSD3
15080,2934,POT,VSD3
15087,3150,POT,VSD3
15087,3411,CLA,VSD3
15109,3081,POT,VSD3
15106,3127,POT,VSD3
15409,3445,CLA,VSD3
15136,2957,POT,VSD3
15136,3425,CLA,VSD3
15150,3598,CLA,VSD3
15153,3143,POT,VSD3
15153,3216,POT,VSD3
15147,2967,POT,VSD3
15157,2949,POT,VSD3
15156,3152,POT,VSD3
15182,3268,POT,VSD3
15166,3056,POT,VSD3
15171,3223,POT,VSD3
15170,3066,POT,VSD3
15172,3053,POT,VSD3
15178,2909,POT,VSD3
15177,3627,CLA,VSD3
15193,3469,CLA,VSD3
15196,3429,CLA,VSD3
15193,3303,POT,VSD3
15200,3564,CLA,VSD3
15206,3578,CLA,VSD3
15211,3353,CLA,VSD3
15218,3328,CLA,VSD3
15218,3606,CLA,VSD3
15219,3068,POT,VSD3
15221,3644,CLA,VSD3
15236,3142,POT,VSD3
15229,3041,POT,VSD3
15226,3435,CLA,VSD3
15241,3341,CLA,VSD3
15236,3638,CLA,VSD3
15245,2975,POT,VSD3
15274,3415,CLA,VSD3
15252,3149,POT,VSD3
15252,3373,CLA,VSD3
15258,3023,POT,VSD3
15264,3635,CLA,VSD3
15256,3005,POT,VSD3
15260,3131,POT,VSD3
15265,3601,CLA,VSD3
15269,3076,POT,VSD3
15268,3633,CLA,VSD3
