traj_len,frame,region,particle,particle_resid
7902,3931,Channel,['SOD'],[np.int64(2221)]
7902,3936,Channel,['SOD'],[np.int64(2221)]
7902,3942,Channel,['SOD'],[np.int64(2221)]
7902,3943,Channel,['SOD'],[np.int64(2221)]
7902,3944,Channel,['SOD'],[np.int64(2221)]
7902,3945,Channel,['SOD'],[np.int64(2221)]
7902,3946,Channel,['SOD'],[np.int64(2221)]
7902,3947,Channel,['SOD'],[np.int64(2221)]
7902,3953,Channel,['SOD'],[np.int64(2221)]
7902,3954,Channel,['SOD'],[np.int64(2221)]
7902,3966,Channel,['SOD'],[np.int64(2221)]
7902,6869,Channel,['SOD'],[np.int64(2221)]
7902,6870,Channel,['SOD'],[np.int64(2221)]
7902,6874,Channel,['SOD'],[np.int64(2221)]
7902,6875,Channel,['SOD'],[np.int64(2221)]
7902,6876,Channel,['SOD'],[np.int64(2221)]
7902,6877,Channel,['SOD'],[np.int64(2221)]
