traj_len,frame,region,particle,particle_resid
8829,73,VSD2,CLA,2454
8829,1081,VSD1,SOD,2252
8829,6636,VSD1,SOD,2182
8829,6748,VSD1,SOD,2220
8829,6824,VSD1,SOD,2334
8829,7066,VSD1,SOD,2194
8829,7176,VSD1,CLA,2380
8829,7297,VSD1,SOD,2101
8829,7417,VSD1,SOD,2154
8829,7500,VSD1,SOD,2125
8829,7761,VSD1,SOD,2319
8829,7804,VSD1,SOD,2111
8829,8160,VSD1,CLA,2529
8829,8186,VSD1,SOD,2322
8829,8193,VSD1,SOD,2239
8829,8268,VSD1,CLA,2590
8829,8300,VSD1,SOD,2107
8829,8317,VSD1,CLA,2502
8829,8323,VSD1,CLA,2427
8829,8341,VSD1,CLA,2455
8829,8364,VSD1,SOD,2235
8829,8372,VSD1,SOD,2282
8829,8381,VSD1,CLA,2422
8829,8392,VSD1,SOD,2332
8829,8407,VSD1,CLA,2548
8829,8424,VSD1,CLA,2348
8829,8429,VSD1,CLA,2468
8829,8434,VSD1,CLA,2423
8829,8438,VSD1,SOD,2148
8829,8443,VSD1,CLA,2509
8829,8445,VSD1,SOD,2304
8829,8447,VSD1,SOD,2134
8829,8458,VSD1,SOD,2224
8829,8463,VSD1,CLA,2417
8829,8469,VSD1,CLA,2565
8829,8472,VSD1,CLA,2440
8829,8475,VSD1,CLA,2388
8829,8481,VSD1,CLA,2516
8829,8482,VSD1,SOD,2157
8829,8484,VSD1,CLA,2500
8829,8489,VSD1,SOD,2130
8829,8496,VSD1,CLA,2393
8829,8498,VSD1,SOD,2123
8829,8499,VSD1,CLA,2381
8829,8513,VSD1,CLA,2401
8829,8513,VSD1,CLA,2549
8829,8518,VSD1,CLA,2414
8829,8520,VSD1,SOD,2266
8829,8521,VSD1,SOD,2171
8829,8521,VSD1,CLA,2353
8829,8522,VSD1,CLA,2484
8829,8525,VSD1,CLA,2361
8829,8530,VSD1,SOD,2272
8829,8534,VSD1,SOD,2280
8829,8542,VSD1,CLA,2392
8829,8544,VSD1,SOD,2324
8829,8554,VSD1,SOD,2173
8829,8559,VSD1,SOD,2251
8829,8559,VSD1,CLA,2453
8829,8560,VSD1,SOD,2184
8829,8560,VSD1,CLA,2460
8829,8562,VSD1,CLA,2523
8829,8568,VSD1,CLA,2354
8829,8568,VSD1,CLA,2445
8829,8573,VSD1,SOD,2105
8829,8573,VSD1,SOD,2238
8829,8586,VSD1,SOD,2180
8829,8601,VSD1,SOD,2278
8829,8603,VSD1,CLA,2506
8829,8610,VSD1,SOD,2183
8829,8610,VSD1,CLA,2428
8829,8613,VSD1,SOD,2262
8829,8613,VSD1,CLA,2576
8829,8614,VSD1,CLA,2400
8829,8616,VSD1,CLA,2360
8829,8620,VSD1,SOD,2244
8829,8621,VSD1,CLA,2550
8829,8624,VSD1,SOD,2203
8829,8631,VSD1,SOD,2196
8829,8631,VSD1,SOD,2226
8829,8632,VSD1,CLA,2371
8829,8636,VSD1,CLA,2543
8829,8652,VSD1,CLA,2485
8829,8653,VSD1,SOD,2292
8829,8654,VSD1,SOD,2248
8829,8658,VSD1,CLA,2559
8829,8659,VSD1,CLA,2464
8829,8672,VSD1,CLA,2379
8829,8674,VSD1,SOD,2186
8829,8677,VSD1,SOD,2246
8829,8679,VSD1,SOD,2159
8829,8680,VSD1,CLA,2356
8829,8687,VSD1,CLA,2465
8829,8688,VSD1,CLA,2359
8829,8692,VSD1,SOD,2181
8829,8695,VSD1,SOD,2269
8829,8696,VSD1,SOD,2300
8829,8701,VSD1,CLA,2399
8829,8701,VSD1,CLA,2552
8829,8703,VSD1,CLA,2410
8829,8703,VSD1,CLA,2446
8829,8706,VSD1,SOD,2289
8829,8709,VSD1,SOD,2298
8829,8710,VSD1,SOD,2143
8829,8710,VSD1,CLA,2390
8829,8712,VSD1,CLA,2341
8829,8716,VSD1,CLA,2510
