traj_len,frame,region,particle,particle_resid
2733,502,VSD2,CLA,2454
2733,1038,VSD3,CLA,2487
2733,1342,VSD3,CLA,2463
2733,1407,VSD3,SOD,2244
2733,1424,VSD3,CLA,2535
2733,1451,VSD3,CLA,2353
2733,1455,VSD3,SOD,2227
2733,1483,VSD3,SOD,2205
2733,1507,VSD3,CLA,2548
2733,1567,VSD3,CLA,2575
2733,1576,VSD3,CLA,2470
2733,1581,VSD3,SOD,2226
2733,1608,VSD3,CLA,2360
2733,1617,VSD3,CLA,2350
2733,1661,VSD3,CLA,2440
2733,1669,VSD3,CLA,2367
2733,1674,VSD3,CLA,2354
2733,1683,VSD3,CLA,2534
2733,1716,VSD3,SOD,2188
2733,1723,VSD3,SOD,2109
2733,1732,VSD3,CLA,2429
2733,1734,VSD3,CLA,2414
2733,1755,VSD3,CLA,2568
2733,1762,VSD3,SOD,2191
2733,1773,VSD3,SOD,2232
2733,1781,VSD3,CLA,2347
2733,1786,VSD3,SOD,2266
2733,1789,VSD3,CLA,2380
2733,1789,VSD3,CLA,2399
2733,1792,VSD3,CLA,2582
2733,1808,VSD3,CLA,2378
2733,1819,VSD3,CLA,2445
2733,1820,VSD3,SOD,2142
2733,1831,VSD3,CLA,2579
2733,1844,VSD3,CLA,2531
2733,1850,VSD3,CLA,2395
2733,1856,VSD3,SOD,2158
2733,1857,VSD3,CLA,2467
2733,1863,VSD3,CLA,2465
2733,1863,VSD3,CLA,2564
2733,1864,VSD3,CLA,2557
2733,1872,VSD3,CLA,2449
2733,1883,VSD3,CLA,2394
2733,1884,VSD3,SOD,2149
2733,1892,VSD3,CLA,2571
2733,1894,VSD3,CLA,2457
2733,1897,VSD3,CLA,2567
2733,1906,VSD3,CLA,2402
2733,1909,VSD3,SOD,2272
2733,1911,VSD3,CLA,2400
2733,1916,VSD3,CLA,2539
2733,1917,VSD3,CLA,2468
2733,1931,VSD3,CLA,2348
2733,1932,VSD3,SOD,2331
2733,1938,VSD3,SOD,2240
2733,1941,VSD3,CLA,2422
2733,1958,VSD3,CLA,2372
2733,1959,VSD3,CLA,2459
2733,1959,VSD3,CLA,2551
2733,1968,VSD3,CLA,2374
2733,1971,VSD3,SOD,2197
2733,1973,VSD3,CLA,2492
2733,1984,VSD3,SOD,2245
2733,1990,VSD3,CLA,2561
2733,1999,VSD3,CLA,2556
2733,1999,VSD3,CLA,2405
2733,2002,VSD3,CLA,2537
2733,2008,VSD3,CLA,2351
2733,2009,VSD3,CLA,2544
2733,2011,VSD3,CLA,2519
2733,2014,VSD3,CLA,2453
2733,2016,VSD3,SOD,2297
2733,2016,VSD3,CLA,2361
2733,2021,VSD3,CLA,2439
2733,2032,VSD3,CLA,2342
2733,2033,VSD3,CLA,2420
2733,2035,VSD3,SOD,2182
2733,2041,VSD3,CLA,2365
2733,2043,VSD3,CLA,2549
2733,2046,VSD3,SOD,2290
2733,2047,VSD3,CLA,2413
2733,2049,VSD3,SOD,2123
2733,2049,VSD3,SOD,2282
2733,2052,VSD3,SOD,2129
2733,2053,VSD3,SOD,2147
2733,2057,VSD3,SOD,2159
2733,2058,VSD3,SOD,2211
2733,2058,VSD3,CLA,2479
2733,2058,VSD3,CLA,2570
2733,2064,VSD3,CLA,2359
2733,2065,VSD3,SOD,2337
2733,2072,VSD3,CLA,2577
2733,2072,VSD3,CLA,2552
2733,2072,VSD3,SOD,2280
2733,2073,VSD3,SOD,2108
2733,2077,VSD3,CLA,2349
2733,2077,VSD3,CLA,2364
2733,2081,VSD3,CLA,2442
2733,2082,VSD3,CLA,2428
2733,2084,VSD3,SOD,2262
2733,2085,VSD3,CLA,2366
2733,2089,VSD3,SOD,2247
2733,2091,VSD3,CLA,2510
2733,2092,VSD3,SOD,2107
2733,2095,VSD3,SOD,2225
2733,2098,VSD3,SOD,2144
2733,2098,VSD3,CLA,2412
2733,2098,VSD3,CLA,2521
2733,2101,VSD3,CLA,2507
2733,2109,VSD3,CLA,2566
2733,2113,VSD3,SOD,2303
2733,2114,VSD3,SOD,2253
2733,2115,VSD3,SOD,2145
2733,2118,VSD3,SOD,2111
2733,2122,VSD3,SOD,2138
2733,2126,VSD3,CLA,2540
2733,2133,VSD3,SOD,2274
2733,2134,VSD3,SOD,2151
2733,2134,VSD3,CLA,2355
2733,2134,VSD3,CLA,2461
2733,2135,VSD3,CLA,2371
2733,2138,VSD3,CLA,2408
2733,2140,VSD3,CLA,2493
2733,2143,VSD3,CLA,2560
2733,2144,VSD3,CLA,2384
2733,2144,VSD3,CLA,2500
2733,2145,VSD3,CLA,2517
2733,2152,VSD3,CLA,2559
2733,2154,VSD3,SOD,2113
2733,2158,VSD3,CLA,2432
2733,2172,VSD3,SOD,2284
2733,2177,VSD3,SOD,2124
2733,2181,VSD3,CLA,2504
2733,2182,VSD3,CLA,2576
2733,2187,VSD3,SOD,2278
2733,2194,VSD3,SOD,2333
2733,2199,VSD3,SOD,2271
2733,2200,VSD3,CLA,2473
2733,2203,VSD3,SOD,2277
2733,2210,VSD3,SOD,2242
2733,2211,VSD3,SOD,2288
2733,2213,VSD3,CLA,2418
2733,2213,VSD3,CLA,2438
2733,2227,VSD3,SOD,2285
2733,2228,VSD3,CLA,2569
2733,2232,VSD3,CLA,2446
2733,2237,VSD3,SOD,2263
2733,2242,VSD3,CLA,2389
2733,2242,VSD3,CLA,2451
