traj_len,frame,region,particle,particle_resid
8829,6570,VSD1,['P'],[np.int64(1523)]
8829,6580,VSD1,['P'],[np.int64(1523)]
8829,6582,VSD1,['P'],[np.int64(1523)]
8829,6608,VSD1,['P'],[np.int64(1523)]
8829,6648,VSD1,['P'],[np.int64(1523)]
8829,6656,VSD1,['P'],[np.int64(1523)]
8829,6659,VSD1,['P'],[np.int64(1523)]
8829,6666,VSD1,['P'],[np.int64(1523)]
8829,6668,VSD1,['P'],[np.int64(1523)]
8829,6670,VSD1,['P'],[np.int64(1523)]
8829,6671,VSD1,['P'],[np.int64(1523)]
8829,6672,VSD1,['P'],[np.int64(1523)]
8829,6673,VSD1,['P'],[np.int64(1523)]
8829,6674,VSD1,['P'],[np.int64(1523)]
8829,6676,VSD1,['P'],[np.int64(1523)]
8829,6680,VSD1,['P'],[np.int64(1523)]
8829,6682,VSD1,['P'],[np.int64(1523)]
8829,6710,VSD1,['P'],[np.int64(1523)]
8829,6728,VSD1,['P'],[np.int64(1523)]
8829,6733,VSD1,['P'],[np.int64(1523)]
8829,6734,VSD1,['P'],[np.int64(1523)]
8829,6735,VSD1,['P'],[np.int64(1523)]
8829,6736,VSD1,['P'],[np.int64(1523)]
8829,6737,VSD1,['P'],[np.int64(1523)]
8829,6738,VSD1,['P'],[np.int64(1523)]
8829,6739,VSD1,['P'],[np.int64(1523)]
8829,6740,VSD1,['P'],[np.int64(1523)]
8829,6743,VSD1,['P'],[np.int64(1523)]
8829,6746,VSD1,['P'],[np.int64(1523)]
8829,6752,VSD1,['P'],[np.int64(1523)]
8829,6753,VSD1,['P'],[np.int64(1523)]
8829,6754,VSD1,['P'],[np.int64(1523)]
8829,6755,VSD1,['P'],[np.int64(1523)]
8829,6756,VSD1,['P'],[np.int64(1523)]
8829,6757,VSD1,['P'],[np.int64(1523)]
8829,6758,VSD1,['P'],[np.int64(1523)]
8829,6759,VSD1,['P'],[np.int64(1523)]
8829,6760,VSD1,['P'],[np.int64(1523)]
8829,6762,VSD1,['P'],[np.int64(1523)]
8829,6787,VSD1,['P'],[np.int64(1523)]
8829,6792,VSD1,['P'],[np.int64(1523)]
8829,6828,VSD1,['P'],[np.int64(1523)]
8829,6865,VSD1,['P'],[np.int64(1523)]
8829,6868,VSD1,['P'],[np.int64(1523)]
8829,6869,VSD1,['P'],[np.int64(1523)]
8829,6871,VSD1,['P'],[np.int64(1523)]
8829,6872,VSD1,['P'],[np.int64(1523)]
8829,6873,VSD1,['P'],[np.int64(1523)]
8829,6874,VSD1,['P'],[np.int64(1523)]
8829,6875,VSD1,['P'],[np.int64(1523)]
8829,6881,VSD1,['P'],[np.int64(1523)]
8829,6882,VSD1,['P'],[np.int64(1523)]
8829,6885,VSD1,['P'],[np.int64(1523)]
8829,6888,VSD1,['P'],[np.int64(1523)]
8829,6889,VSD1,['P'],[np.int64(1523)]
8829,6892,VSD1,['P'],[np.int64(1523)]
8829,6894,VSD1,['P'],[np.int64(1523)]
8829,6895,VSD1,['P'],[np.int64(1523)]
8829,6896,VSD1,['P'],[np.int64(1523)]
8829,6898,VSD1,['P'],[np.int64(1523)]
8829,6900,VSD1,['P'],[np.int64(1523)]
8829,6901,VSD1,['P'],[np.int64(1523)]
8829,6902,VSD1,['P'],[np.int64(1523)]
8829,6903,VSD1,['P'],[np.int64(1523)]
8829,6904,VSD1,['P'],[np.int64(1523)]
8829,6905,VSD1,['P'],[np.int64(1523)]
8829,6906,VSD1,['P'],[np.int64(1523)]
8829,6907,VSD1,['P'],[np.int64(1523)]
8829,6908,VSD1,['P'],[np.int64(1523)]
8829,6909,VSD1,['P'],[np.int64(1523)]
8829,6910,VSD1,['P'],[np.int64(1523)]
8829,6911,VSD1,['P'],[np.int64(1523)]
8829,6912,VSD1,['P'],[np.int64(1523)]
8829,6913,VSD1,['P'],[np.int64(1523)]
8829,6914,VSD1,['P'],[np.int64(1523)]
8829,6915,VSD1,['P'],[np.int64(1523)]
8829,6916,VSD1,['P'],[np.int64(1523)]
8829,6917,VSD1,['P'],[np.int64(1523)]
8829,6919,VSD1,['P'],[np.int64(1523)]
8829,6920,VSD1,['P'],[np.int64(1523)]
8829,6921,VSD1,['P'],[np.int64(1523)]
8829,6925,VSD1,['P'],[np.int64(1523)]
8829,6926,VSD1,['P'],[np.int64(1523)]
8829,6927,VSD1,['P'],[np.int64(1523)]
8829,6928,VSD1,['P'],[np.int64(1523)]
8829,6929,VSD1,['P'],[np.int64(1523)]
8829,6930,VSD1,['P'],[np.int64(1523)]
8829,6931,VSD1,['P'],[np.int64(1523)]
8829,6932,VSD1,['P'],[np.int64(1523)]
8829,6934,VSD1,['P'],[np.int64(1523)]
8829,6935,VSD1,['P'],[np.int64(1523)]
8829,6937,VSD1,['P'],[np.int64(1523)]
8829,6938,VSD1,['P'],[np.int64(1523)]
8829,6939,VSD1,['P'],[np.int64(1523)]
8829,6940,VSD1,['P'],[np.int64(1523)]
8829,6942,VSD1,['P'],[np.int64(1523)]
8829,6943,VSD1,['P'],[np.int64(1523)]
8829,6944,VSD1,['P'],[np.int64(1523)]
8829,6945,VSD1,['P'],[np.int64(1523)]
8829,6946,VSD1,['P'],[np.int64(1523)]
8829,6947,VSD1,['P'],[np.int64(1523)]
8829,6948,VSD1,['P'],[np.int64(1523)]
8829,6949,VSD1,['P'],[np.int64(1523)]
8829,6950,VSD1,['P'],[np.int64(1523)]
8829,6951,VSD1,['P'],[np.int64(1523)]
8829,6952,VSD1,['P'],[np.int64(1523)]
8829,6953,VSD1,['P'],[np.int64(1523)]
8829,6954,VSD1,['P'],[np.int64(1523)]
8829,6955,VSD1,['P'],[np.int64(1523)]
8829,6956,VSD1,['P'],[np.int64(1523)]
8829,6957,VSD1,['P'],[np.int64(1523)]
8829,6958,VSD1,['P'],[np.int64(1523)]
8829,6959,VSD1,['P'],[np.int64(1523)]
8829,6960,VSD1,['P'],[np.int64(1523)]
8829,6961,VSD1,['P'],[np.int64(1523)]
8829,6962,VSD1,['P'],[np.int64(1523)]
8829,6963,VSD1,['P'],[np.int64(1523)]
8829,6964,VSD1,['P'],[np.int64(1523)]
8829,6965,VSD1,['P'],[np.int64(1523)]
8829,6966,VSD1,['P'],[np.int64(1523)]
8829,6967,VSD1,['P'],[np.int64(1523)]
8829,6968,VSD1,['P'],[np.int64(1523)]
8829,6969,VSD1,['P'],[np.int64(1523)]
8829,6970,VSD1,['P'],[np.int64(1523)]
8829,6971,VSD1,['P'],[np.int64(1523)]
8829,6972,VSD1,['P'],[np.int64(1523)]
8829,6973,VSD1,['P'],[np.int64(1523)]
8829,6974,VSD1,['P'],[np.int64(1523)]
8829,6975,VSD1,['P'],[np.int64(1523)]
8829,6976,VSD1,['P'],[np.int64(1523)]
8829,6977,VSD1,['P'],[np.int64(1523)]
8829,6978,VSD1,['P'],[np.int64(1523)]
8829,6979,VSD1,['P'],[np.int64(1523)]
8829,6980,VSD1,['P'],[np.int64(1523)]
8829,6981,VSD1,['P'],[np.int64(1523)]
8829,6982,VSD1,['P'],[np.int64(1523)]
8829,6983,VSD1,['P'],[np.int64(1523)]
8829,6984,VSD1,['P'],[np.int64(1523)]
8829,6985,VSD1,['P'],[np.int64(1523)]
8829,6986,VSD1,['P'],[np.int64(1523)]
8829,6987,VSD1,['P'],[np.int64(1523)]
8829,6988,VSD1,['P'],[np.int64(1523)]
8829,6989,VSD1,['P'],[np.int64(1523)]
8829,6990,VSD1,['P'],[np.int64(1523)]
8829,6991,VSD1,['P'],[np.int64(1523)]
8829,6992,VSD1,['P'],[np.int64(1523)]
8829,6993,VSD1,['P'],[np.int64(1523)]
8829,6994,VSD1,['P'],[np.int64(1523)]
8829,6995,VSD1,['P'],[np.int64(1523)]
8829,6996,VSD1,['P'],[np.int64(1523)]
8829,6997,VSD1,['P'],[np.int64(1523)]
8829,6998,VSD1,['P'],[np.int64(1523)]
8829,6999,VSD1,['P'],[np.int64(1523)]
8829,7000,VSD1,['P'],[np.int64(1523)]
8829,7001,VSD1,['P'],[np.int64(1523)]
8829,7002,VSD1,['P'],[np.int64(1523)]
8829,7003,VSD1,['P'],[np.int64(1523)]
8829,7004,VSD1,['P'],[np.int64(1523)]
8829,7005,VSD1,['P'],[np.int64(1523)]
8829,7006,VSD1,['P'],[np.int64(1523)]
8829,7007,VSD1,['P'],[np.int64(1523)]
8829,7008,VSD1,['P'],[np.int64(1523)]
8829,7009,VSD1,['P'],[np.int64(1523)]
8829,7010,VSD1,['P'],[np.int64(1523)]
8829,7011,VSD1,['P'],[np.int64(1523)]
8829,7012,VSD1,['P'],[np.int64(1523)]
8829,7013,VSD1,['P'],[np.int64(1523)]
8829,7014,VSD1,['P'],[np.int64(1523)]
8829,7015,VSD1,['P'],[np.int64(1523)]
8829,7016,VSD1,['P'],[np.int64(1523)]
8829,7017,VSD1,['P'],[np.int64(1523)]
8829,7018,VSD1,['P'],[np.int64(1523)]
8829,7019,VSD1,['P'],[np.int64(1523)]
8829,7020,VSD1,['P'],[np.int64(1523)]
8829,7021,VSD1,['P'],[np.int64(1523)]
8829,7022,VSD1,['P'],[np.int64(1523)]
8829,7023,VSD1,['P'],[np.int64(1523)]
8829,7024,VSD1,['P'],[np.int64(1523)]
8829,7025,VSD1,['P'],[np.int64(1523)]
8829,7026,VSD1,['P'],[np.int64(1523)]
8829,7027,VSD1,['P'],[np.int64(1523)]
8829,7028,VSD1,['P'],[np.int64(1523)]
8829,7029,VSD1,['P'],[np.int64(1523)]
8829,7030,VSD1,['P'],[np.int64(1523)]
8829,7031,VSD1,['P'],[np.int64(1523)]
8829,7032,VSD1,['P'],[np.int64(1523)]
8829,7033,VSD1,['P'],[np.int64(1523)]
8829,7034,VSD1,['P'],[np.int64(1523)]
8829,7035,VSD1,['P'],[np.int64(1523)]
8829,7037,VSD1,['P'],[np.int64(1523)]
8829,7039,VSD1,['P'],[np.int64(1523)]
8829,7040,VSD1,['P'],[np.int64(1523)]
8829,7041,VSD1,['P'],[np.int64(1523)]
8829,7042,VSD1,['P'],[np.int64(1523)]
8829,7043,VSD1,['P'],[np.int64(1523)]
8829,7044,VSD1,['P'],[np.int64(1523)]
8829,7045,VSD1,['P'],[np.int64(1523)]
8829,7046,VSD1,['P'],[np.int64(1523)]
8829,7047,VSD1,['P'],[np.int64(1523)]
8829,7048,VSD1,['P'],[np.int64(1523)]
8829,7049,VSD1,['P'],[np.int64(1523)]
8829,7050,VSD1,['P'],[np.int64(1523)]
