traj_len,frame,region,particle,particle_resid
4087,2861,VSD3,['P'],[np.int64(1610)]
4087,2862,VSD3,['P'],[np.int64(1610)]
4087,2863,VSD3,['P'],[np.int64(1610)]
4087,2864,VSD3,['P'],[np.int64(1610)]
4087,2865,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2866,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2867,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2868,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2869,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2870,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2872,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2873,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2874,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2875,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2876,VSD3,['P'],[np.int64(1610)]
4087,2877,VSD3,['P'],[np.int64(1610)]
4087,2878,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2879,VSD3,['P'],[np.int64(1610)]
4087,2880,VSD3,['P'],[np.int64(1610)]
4087,2881,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2882,VSD3,['P'],[np.int64(1610)]
4087,2884,VSD3,['P'],[np.int64(1610)]
4087,2885,VSD3,['P'],[np.int64(1610)]
4087,2886,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2887,VSD3,['P'],[np.int64(1610)]
4087,2888,VSD3,['P'],[np.int64(1610)]
4087,2889,VSD3,['P'],[np.int64(1610)]
4087,2890,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2891,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2892,VSD3,"['P', 'P']","[np.int64(1610), np.int64(1659)]"
4087,2893,VSD3,['P'],[np.int64(1610)]
4087,2896,VSD3,['P'],[np.int64(1610)]
4087,2897,VSD3,['P'],[np.int64(1610)]
4087,2899,VSD3,['P'],[np.int64(1610)]
4087,2900,VSD3,['P'],[np.int64(1610)]
4087,2901,VSD3,['P'],[np.int64(1610)]
4087,2902,VSD3,['P'],[np.int64(1610)]
4087,2903,VSD3,['P'],[np.int64(1610)]
4087,2904,VSD3,['P'],[np.int64(1610)]
4087,2905,VSD3,['P'],[np.int64(1610)]
4087,2906,VSD3,['P'],[np.int64(1610)]
4087,2907,VSD3,['P'],[np.int64(1610)]
4087,2908,VSD3,['P'],[np.int64(1610)]
4087,2909,VSD3,['P'],[np.int64(1610)]
4087,2910,VSD3,['P'],[np.int64(1610)]
4087,2928,VSD3,['P'],[np.int64(1659)]
4087,2929,VSD3,['P'],[np.int64(1659)]
4087,2933,VSD3,['P'],[np.int64(1659)]
4087,2934,VSD3,['P'],[np.int64(1659)]
4087,2935,VSD3,['P'],[np.int64(1659)]
4087,2936,VSD3,['P'],[np.int64(1659)]
4087,2937,VSD3,['P'],[np.int64(1659)]
4087,2938,VSD3,['P'],[np.int64(1659)]
4087,2939,VSD3,['P'],[np.int64(1659)]
4087,2972,VSD3,['P'],[np.int64(1659)]
4087,2973,VSD3,['P'],[np.int64(1659)]
4087,2974,VSD3,['P'],[np.int64(1659)]
4087,2975,VSD3,['P'],[np.int64(1659)]
4087,2976,VSD3,['P'],[np.int64(1659)]
4087,2978,VSD3,['P'],[np.int64(1659)]
4087,2981,VSD3,['P'],[np.int64(1659)]
4087,2986,VSD3,['P'],[np.int64(1659)]
4087,2987,VSD3,['P'],[np.int64(1659)]
4087,2988,VSD3,['P'],[np.int64(1659)]
4087,2989,VSD3,['P'],[np.int64(1659)]
4087,2999,VSD3,['P'],[np.int64(1659)]
4087,3000,VSD3,['P'],[np.int64(1659)]
4087,3001,VSD3,['P'],[np.int64(1659)]
4087,3002,VSD3,['P'],[np.int64(1659)]
4087,3003,VSD3,['P'],[np.int64(1659)]
4087,3004,VSD3,['P'],[np.int64(1659)]
4087,3006,VSD3,['P'],[np.int64(1659)]
4087,3007,VSD3,['P'],[np.int64(1659)]
4087,3008,VSD3,['P'],[np.int64(1659)]
4087,3009,VSD3,['P'],[np.int64(1659)]
4087,3016,VSD3,['P'],[np.int64(1659)]
4087,3026,VSD3,['P'],[np.int64(1659)]
4087,3027,VSD3,['P'],[np.int64(1659)]
4087,3031,VSD3,['P'],[np.int64(1659)]
4087,3036,VSD3,['P'],[np.int64(1659)]
4087,3037,VSD3,['P'],[np.int64(1659)]
4087,3039,VSD3,['P'],[np.int64(1659)]
4087,3055,VSD3,['P'],[np.int64(1659)]
4087,3056,VSD3,['P'],[np.int64(1659)]
4087,3058,VSD3,['P'],[np.int64(1659)]
4087,3059,VSD3,['P'],[np.int64(1659)]
4087,3061,VSD3,['P'],[np.int64(1659)]
4087,3062,VSD3,['P'],[np.int64(1610)]
4087,3063,VSD3,['P'],[np.int64(1610)]
4087,3064,VSD3,['P'],[np.int64(1610)]
4087,3065,VSD3,['P'],[np.int64(1610)]
4087,3066,VSD3,"['P', 'P', 'P']","[np.int64(1610), np.int64(1659), np.int64(1835)]"
4087,3067,VSD3,['P'],[np.int64(1610)]
4087,3072,VSD3,"['P', 'P']","[np.int64(1659), np.int64(1835)]"
4087,3074,VSD3,['P'],[np.int64(1659)]
4087,3075,VSD3,['P'],[np.int64(1659)]
4087,3077,VSD3,['P'],[np.int64(1659)]
4087,3079,VSD3,"['P', 'P']","[np.int64(1659), np.int64(1835)]"
4087,3080,VSD3,['P'],[np.int64(1659)]
4087,3081,VSD3,['P'],[np.int64(1835)]
4087,3082,VSD3,['P'],[np.int64(1835)]
4087,3083,VSD3,['P'],[np.int64(1835)]
