traj_len,frame,region,particle,particle_resid
1926,1526,VSD1,['P'],[1847]
1926,1527,VSD1,['P'],[1847]
1926,1528,VSD1,['P'],[1847]
1926,1531,VSD1,['P'],[1847]
1926,1532,VSD1,['P'],[1847]
1926,1533,VSD1,['P'],[1847]
1926,1534,VSD1,['P'],[1847]
1926,1535,VSD1,['P'],[1847]
1926,1536,VSD1,['P'],[1847]
1926,1537,VSD1,['P'],[1847]
1926,1538,VSD1,['P'],[1847]
1926,1539,VSD1,['P'],[1847]
1926,1540,VSD1,['P'],[1847]
1926,1541,VSD1,['P'],[1847]
1926,1542,VSD1,['P'],[1847]
1926,1543,VSD1,['P'],[1847]
1926,1544,VSD1,['P'],[1847]
1926,1545,VSD1,['P'],[1847]
1926,1546,VSD1,['P'],[1847]
1926,1547,VSD1,['P'],[1847]
1926,1548,VSD1,['P'],[1847]
1926,1549,VSD1,['P'],[1847]
1926,1550,VSD1,['P'],[1847]
1926,1551,VSD1,['P'],[1847]
1926,1552,VSD1,['P'],[1847]
1926,1553,VSD1,['P'],[1847]
1926,1554,VSD1,['P'],[1847]
1926,1555,VSD1,['P'],[1847]
1926,1556,VSD1,['P'],[1847]
1926,1557,VSD1,['P'],[1847]
1926,1558,VSD1,['P'],[1847]
1926,1559,VSD1,['P'],[1847]
1926,1560,VSD1,['P'],[1847]
1926,1561,VSD1,['P'],[1847]
1926,1562,VSD1,['P'],[1847]
1926,1563,VSD1,['P'],[1847]
1926,1564,VSD1,['P'],[1847]
1926,1565,VSD1,['P'],[1847]
1926,1566,VSD1,['P'],[1847]
1926,1567,VSD1,['P'],[1847]
1926,1568,VSD1,"['P', 'P']","[1847, 1898]"
1926,1569,VSD1,"['P', 'P']","[1847, 1898]"
1926,1570,VSD1,"['P', 'P']","[1847, 1898]"
1926,1571,VSD1,"['P', 'P']","[1847, 1898]"
1926,1572,VSD1,"['P', 'P', 'P']","[1757, 1847, 1898]"
1926,1573,VSD1,"['P', 'P', 'P']","[1757, 1847, 1898]"
1926,1574,VSD1,['P'],[1847]
1926,1575,VSD1,"['P', 'P']","[1847, 1898]"
1926,1576,VSD1,"['P', 'P', 'P']","[1757, 1847, 1898]"
1926,1577,VSD1,"['P', 'P', 'P']","[1757, 1847, 1898]"
1926,1578,VSD1,"['P', 'P']","[1847, 1898]"
1926,1579,VSD1,"['P', 'P']","[1847, 1898]"
1926,1580,VSD1,"['P', 'P']","[1847, 1898]"
1926,1581,VSD1,"['P', 'P']","[1847, 1898]"
1926,1582,VSD1,"['P', 'P']","[1847, 1898]"
1926,1583,VSD1,"['P', 'P']","[1847, 1898]"
1926,1584,VSD1,"['P', 'P']","[1847, 1898]"
1926,1585,VSD1,"['P', 'P']","[1847, 1898]"
1926,1586,VSD1,"['P', 'P']","[1847, 1898]"
1926,1587,VSD1,"['P', 'P']","[1847, 1898]"
1926,1588,VSD1,"['P', 'P']","[1847, 1898]"
1926,1589,VSD1,"['P', 'P']","[1847, 1898]"
1926,1590,VSD1,"['P', 'P']","[1847, 1898]"
1926,1591,VSD1,"['P', 'P']","[1847, 1898]"
1926,1592,VSD1,"['P', 'P']","[1847, 1898]"
1926,1593,VSD1,"['P', 'P']","[1847, 1898]"
