traj_len,frame,region,particle,particle_resid
1659,1070,VSD1,['P'],[1763]
1659,1107,VSD1,['P'],[1763]
1659,1108,VSD1,"['P', 'P']","[1514, 1763]"
1659,1109,VSD1,"['P', 'P']","[1514, 1763]"
1659,1112,VSD1,['P'],[1514]
1659,1114,VSD1,"['P', 'P']","[1514, 1763]"
1659,1118,VSD1,['P'],[1763]
1659,1125,VSD1,['P'],[1514]
1659,1129,VSD1,['P'],[1514]
1659,1131,VSD1,['P'],[1514]
1659,1132,VSD1,['P'],[1514]
1659,1133,VSD1,['P'],[1514]
1659,1134,VSD1,['P'],[1514]
1659,1135,VSD1,['P'],[1514]
1659,1136,VSD1,['P'],[1514]
1659,1137,VSD1,['P'],[1514]
1659,1138,VSD1,['P'],[1514]
1659,1142,VSD1,['P'],[1514]
1659,1143,VSD1,['P'],[1514]
1659,1144,VSD1,['P'],[1514]
1659,1145,VSD1,['P'],[1514]
1659,1146,VSD1,['P'],[1514]
1659,1147,VSD1,['P'],[1514]
1659,1148,VSD1,['P'],[1514]
1659,1150,VSD1,['P'],[1514]
1659,1151,VSD1,['P'],[1514]
1659,1152,VSD1,['P'],[1514]
1659,1153,VSD1,['P'],[1514]
1659,1154,VSD1,['P'],[1514]
1659,1155,VSD1,['P'],[1514]
1659,1156,VSD1,['P'],[1514]
1659,1157,VSD1,['P'],[1514]
1659,1158,VSD1,['P'],[1514]
1659,1159,VSD1,['P'],[1514]
1659,1160,VSD1,['P'],[1514]
1659,1161,VSD1,"['P', 'P']","[1514, 1763]"
1659,1162,VSD1,['P'],[1514]
1659,1163,VSD1,['P'],[1514]
1659,1164,VSD1,['P'],[1514]
1659,1165,VSD1,['P'],[1514]
1659,1166,VSD1,['P'],[1514]
1659,1167,VSD1,['P'],[1514]
1659,1168,VSD1,['P'],[1514]
1659,1169,VSD1,['P'],[1514]
1659,1170,VSD1,['P'],[1514]
1659,1171,VSD1,['P'],[1514]
1659,1172,VSD1,['P'],[1514]
1659,1173,VSD1,['P'],[1514]
1659,1174,VSD1,['P'],[1514]
1659,1175,VSD1,['P'],[1514]
1659,1176,VSD1,['P'],[1514]
1659,1177,VSD1,['P'],[1514]
1659,1178,VSD1,['P'],[1514]
1659,1179,VSD1,['P'],[1514]
1659,1180,VSD1,['P'],[1514]
1659,1181,VSD1,['P'],[1514]
1659,1182,VSD1,['P'],[1514]
1659,1183,VSD1,['P'],[1514]
1659,1184,VSD1,['P'],[1514]
1659,1185,VSD1,['P'],[1514]
1659,1186,VSD1,['P'],[1514]
1659,1187,VSD1,['P'],[1514]
1659,1188,VSD1,['P'],[1514]
1659,1189,VSD1,['P'],[1514]
1659,1190,VSD1,['P'],[1514]
1659,1191,VSD1,['P'],[1514]
1659,1192,VSD1,['P'],[1514]
1659,1193,VSD1,['P'],[1514]
1659,1194,VSD1,['P'],[1514]
1659,1195,VSD1,['P'],[1514]
1659,1196,VSD1,['P'],[1514]
1659,1197,VSD1,['P'],[1514]
1659,1198,VSD1,['P'],[1514]
1659,1199,VSD1,['P'],[1514]
1659,1200,VSD1,['P'],[1514]
1659,1201,VSD1,['P'],[1514]
1659,1202,VSD1,['P'],[1514]
1659,1203,VSD1,['P'],[1514]
1659,1204,VSD1,['P'],[1514]
1659,1205,VSD1,['P'],[1514]
1659,1206,VSD1,['P'],[1514]
1659,1207,VSD1,['P'],[1514]
1659,1208,VSD1,['P'],[1514]
1659,1209,VSD1,['P'],[1514]
1659,1210,VSD1,['P'],[1514]
1659,1211,VSD1,['P'],[1514]
1659,1212,VSD1,['P'],[1514]
1659,1213,VSD1,['P'],[1514]
1659,1214,VSD1,['P'],[1514]
1659,1215,VSD1,['P'],[1514]
1659,1216,VSD1,['P'],[1514]
1659,1217,VSD1,['P'],[1514]
1659,1218,VSD1,['P'],[1514]
1659,1219,VSD1,['P'],[1514]
1659,1220,VSD1,['P'],[1514]
1659,1221,VSD1,['P'],[1514]
1659,1222,VSD1,['P'],[1514]
1659,1223,VSD1,['P'],[1514]
1659,1224,VSD1,['P'],[1514]
1659,1225,VSD1,['P'],[1514]
1659,1226,VSD1,['P'],[1514]
1659,1227,VSD1,['P'],[1514]
1659,1228,VSD1,"['P', 'P']","[1514, 1763]"
1659,1229,VSD1,['P'],[1514]
1659,1230,VSD1,['P'],[1514]
1659,1231,VSD1,['P'],[1514]
1659,1232,VSD1,['P'],[1514]
1659,1233,VSD1,['P'],[1514]
1659,1234,VSD1,['P'],[1514]
1659,1235,VSD1,['P'],[1514]
1659,1236,VSD1,['P'],[1514]
1659,1237,VSD1,['P'],[1514]
1659,1238,VSD1,['P'],[1514]
1659,1239,VSD1,['P'],[1514]
1659,1240,VSD1,['P'],[1514]
1659,1241,VSD1,['P'],[1514]
1659,1242,VSD1,['P'],[1514]
1659,1243,VSD1,['P'],[1514]
1659,1244,VSD1,['P'],[1514]
1659,1245,VSD1,['P'],[1514]
1659,1246,VSD1,['P'],[1514]
1659,1247,VSD1,['P'],[1514]
1659,1248,VSD1,['P'],[1514]
1659,1249,VSD1,['P'],[1514]
1659,1250,VSD1,['P'],[1514]
1659,1251,VSD1,['P'],[1514]
1659,1252,VSD1,['P'],[1514]
1659,1253,VSD1,['P'],[1514]
1659,1254,VSD1,['P'],[1514]
1659,1255,VSD1,['P'],[1514]
1659,1256,VSD1,['P'],[1514]
1659,1257,VSD1,['P'],[1514]
1659,1258,VSD1,['P'],[1514]
1659,1259,VSD1,['P'],[1514]
1659,1260,VSD1,['P'],[1514]
1659,1261,VSD1,['P'],[1514]
1659,1262,VSD1,['P'],[1514]
1659,1263,VSD1,['P'],[1514]
1659,1264,VSD1,['P'],[1514]
1659,1265,VSD1,['P'],[1514]
1659,1266,VSD1,['P'],[1514]
1659,1267,VSD1,['P'],[1514]
1659,1268,VSD1,['P'],[1514]
1659,1269,VSD1,['P'],[1514]
1659,1270,VSD1,['P'],[1514]
1659,1271,VSD1,['P'],[1514]
1659,1272,VSD1,"['P', 'P']","[1514, 1719]"
1659,1273,VSD1,"['P', 'P']","[1514, 1719]"
1659,1274,VSD1,"['P', 'P']","[1514, 1719]"
1659,1275,VSD1,['P'],[1514]
1659,1276,VSD1,"['P', 'P']","[1514, 1719]"
1659,1277,VSD1,['P'],[1514]
1659,1278,VSD1,['P'],[1514]
1659,1279,VSD1,['P'],[1514]
1659,1280,VSD1,['P'],[1514]
1659,1281,VSD1,['P'],[1514]
1659,1282,VSD1,['P'],[1514]
1659,1283,VSD1,"['P', 'P']","[1514, 1719]"
1659,1284,VSD1,"['P', 'P']","[1514, 1719]"
1659,1285,VSD1,"['P', 'P']","[1514, 1719]"
1659,1286,VSD1,['P'],[1514]
1659,1287,VSD1,"['P', 'P']","[1514, 1719]"
1659,1288,VSD1,['P'],[1514]
1659,1289,VSD1,"['P', 'P']","[1514, 1719]"
