frame,particle_resid,type,region
914,2271,SOD,VSD1
1444,2335,SOD,VSD1
2295,2293,SOD,VSD1
2147,2435,CLA,VSD3
2270,2161,SOD,VSD3
2314,2561,CLA,VSD3
2307,2418,CLA,VSD3
2397,2389,CLA,VSD3
2720,2228,SOD,VSD1
2389,2325,SOD,VSD3
2379,2519,CLA,VSD3
2417,2544,CLA,VSD3
2472,2474,CLA,VSD3
2473,2124,SOD,VSD3
2521,2268,SOD,VSD3
2491,2342,CLA,VSD3
2498,2396,CLA,VSD3
2530,2365,CLA,VSD3
2531,2441,CLA,VSD3
2553,2432,CLA,VSD3
2576,2364,CLA,VSD3
2574,2292,SOD,VSD3
2583,2362,CLA,VSD3
2610,2528,CLA,VSD3
2609,2498,CLA,VSD3
2627,2482,CLA,VSD3
2667,2421,CLA,VSD3
