frame,particle_resid,type,region
1311,2487,CLA,VSD3
1435,2463,CLA,VSD3
1516,2244,SOD,VSD3
1467,2535,CLA,VSD3
1508,2353,CLA,VSD3
1502,2227,SOD,VSD3
1606,2205,SOD,VSD3
1540,2548,CLA,VSD3
1612,2575,CLA,VSD3
1605,2470,CLA,VSD3
1624,2226,SOD,VSD3
1705,2360,CLA,VSD3
1634,2350,CLA,VSD3
1668,2440,CLA,VSD3
1676,2367,CLA,VSD3
1683,2354,CLA,VSD3
1698,2534,CLA,VSD3
1731,2188,SOD,VSD3
1740,2109,SOD,VSD3
1743,2429,CLA,VSD3
1773,2414,CLA,VSD3
1776,2568,CLA,VSD3
1795,2191,SOD,VSD3
1786,2232,SOD,VSD3
1792,2347,CLA,VSD3
1817,2266,SOD,VSD3
1804,2380,CLA,VSD3
1798,2399,CLA,VSD3
1805,2582,CLA,VSD3
1813,2378,CLA,VSD3
1846,2445,CLA,VSD3
1833,2142,SOD,VSD3
1840,2579,CLA,VSD3
1857,2531,CLA,VSD3
1861,2395,CLA,VSD3
1875,2158,SOD,VSD3
1864,2467,CLA,VSD3
1876,2465,CLA,VSD3
1870,2564,CLA,VSD3
1873,2557,CLA,VSD3
1887,2449,CLA,VSD3
1894,2394,CLA,VSD3
1909,2149,SOD,VSD3
1903,2571,CLA,VSD3
1901,2457,CLA,VSD3
1904,2567,CLA,VSD3
1913,2402,CLA,VSD3
1924,2272,SOD,VSD3
1964,2400,CLA,VSD3
1921,2539,CLA,VSD3
1944,2468,CLA,VSD3
1942,2348,CLA,VSD3
1965,2331,SOD,VSD3
1951,2240,SOD,VSD3
1948,2422,CLA,VSD3
1971,2372,CLA,VSD3
1966,2459,CLA,VSD3
1970,2551,CLA,VSD3
1973,2374,CLA,VSD3
1996,2197,SOD,VSD3
1980,2492,CLA,VSD3
2007,2245,SOD,VSD3
1999,2561,CLA,VSD3
2010,2556,CLA,VSD3
2006,2405,CLA,VSD3
2011,2537,CLA,VSD3
2011,2351,CLA,VSD3
2026,2544,CLA,VSD3
2016,2519,CLA,VSD3
2019,2453,CLA,VSD3
2037,2297,SOD,VSD3
2029,2361,CLA,VSD3
2032,2439,CLA,VSD3
2041,2342,CLA,VSD3
2046,2420,CLA,VSD3
2082,2182,SOD,VSD3
2068,2365,CLA,VSD3
2058,2549,CLA,VSD3
2055,2290,SOD,VSD3
2064,2413,CLA,VSD3
2074,2123,SOD,VSD3
2054,2282,SOD,VSD3
2061,2129,SOD,VSD3
2060,2147,SOD,VSD3
2064,2159,SOD,VSD3
2075,2211,SOD,VSD3
2065,2479,CLA,VSD3
2075,2570,CLA,VSD3
2077,2359,CLA,VSD3
2098,2337,SOD,VSD3
2105,2577,CLA,VSD3
2083,2552,CLA,VSD3
2083,2280,SOD,VSD3
2094,2108,SOD,VSD3
2090,2349,CLA,VSD3
2084,2364,CLA,VSD3
2094,2442,CLA,VSD3
2117,2428,CLA,VSD3
2123,2262,SOD,VSD3
2110,2366,CLA,VSD3
2104,2247,SOD,VSD3
2108,2510,CLA,VSD3
2105,2107,SOD,VSD3
2112,2225,SOD,VSD3
2115,2144,SOD,VSD3
2115,2412,CLA,VSD3
2105,2521,CLA,VSD3
2118,2507,CLA,VSD3
2138,2566,CLA,VSD3
2124,2303,SOD,VSD3
2125,2253,SOD,VSD3
2124,2145,SOD,VSD3
2129,2111,SOD,VSD3
2131,2138,SOD,VSD3
2137,2540,CLA,VSD3
2164,2274,SOD,VSD3
2145,2151,SOD,VSD3
2147,2355,CLA,VSD3
2143,2461,CLA,VSD3
2142,2371,CLA,VSD3
2163,2408,CLA,VSD3
2147,2493,CLA,VSD3
2172,2560,CLA,VSD3
2227,2384,CLA,VSD3
2159,2500,CLA,VSD3
2162,2517,CLA,VSD3
2163,2559,CLA,VSD3
2165,2113,SOD,VSD3
2175,2432,CLA,VSD3
2187,2284,SOD,VSD3
2214,2124,SOD,VSD3
2198,2504,CLA,VSD3
2197,2576,CLA,VSD3
2202,2278,SOD,VSD3
2209,2333,SOD,VSD3
2212,2271,SOD,VSD3
2221,2473,CLA,VSD3
2212,2277,SOD,VSD3
2223,2242,SOD,VSD3
2228,2288,SOD,VSD3
2226,2418,CLA,VSD3
2224,2438,CLA,VSD3
2246,2285,SOD,VSD3
2239,2569,CLA,VSD3
2239,2446,CLA,VSD3
2280,2263,SOD,VSD3
2249,2389,CLA,VSD3
2253,2451,CLA,VSD3
