traj_len,frame,region,particle,particle_resid
25067,34,Channel,SOD,1705
25067,1720,Channel,SOD,1604
25067,3156,Channel,CLA,1841
25067,5340,Channel,CLA,1837
25067,6074,Channel,CLA,1726
25067,6567,Channel,SOD,1659
25067,9008,Channel,CLA,1715
25067,9207,Channel,SOD,1627
25067,10376,Channel,SOD,1606
25067,11250,Channel,CLA,1724
25067,14269,Channel,SOD,1686
25067,14313,Channel,CLA,1774
25067,21402,Channel,CLA,1735
25067,22587,Channel,CLA,1759
25067,22790,Channel,SOD,1586
25067,23353,Channel,CLA,1713
25067,23591,Channel,SOD,1685
