traj_len,frame,region,particle,particle_resid
6736,94,Channel,SOD,1705
6736,160,Channel,SOD,1573
6736,225,Channel,SOD,1579
6736,371,Channel,SOD,1568
6736,535,Channel,SOD,1604
6736,888,Channel,SOD,1575
6736,1174,Channel,SOD,1621
6736,1555,Channel,SOD,1668
6736,1963,Channel,SOD,1685
6736,2753,Channel,SOD,1675
6736,3022,Channel,SOD,1607
6736,3525,Channel,SOD,1654
6736,3910,Channel,SOD,1600
6736,4268,Channel,SOD,1577
6736,4388,Channel,SOD,1696
6736,4664,Channel,SOD,1658
6736,5051,Channel,SOD,1594
6736,5501,Channel,SOD,1570
6736,5846,Channel,SOD,1665
6736,5920,Channel,SOD,1599
6736,6231,Channel,SOD,1619
