traj_len,frame,region,particle,particle_resid
2116,1401,VSD1,CLA,1785
2116,1423,VSD1,SOD,1604
2116,1445,VSD1,CLA,1775
2116,1449,VSD1,SOD,1674
2116,1463,VSD1,CLA,1843
2116,1495,VSD1,CLA,1751
2116,1499,VSD1,CLA,1759
2116,1512,VSD1,CLA,1719
2116,1533,VSD1,CLA,1846
2116,1538,VSD1,CLA,1784
2116,1540,VSD1,CLA,1710
2116,1541,VSD1,SOD,1640
2116,1542,VSD1,SOD,1594
2116,1543,VSD1,SOD,1665
2116,1550,VSD1,SOD,1688
2116,1554,VSD1,SOD,1614
2116,1555,VSD1,CLA,1776
2116,1557,VSD1,CLA,1732
2116,1558,VSD1,CLA,1856
2116,1559,VSD1,SOD,1692
2116,1563,VSD1,CLA,1833
2116,1570,VSD1,CLA,1832
2116,1572,VSD1,CLA,1778
2116,1573,VSD1,CLA,1716
2116,1573,VSD1,CLA,1852
2116,1576,VSD1,CLA,1712
2116,1578,VSD1,SOD,1633
2116,1580,VSD1,SOD,1596
2116,1580,VSD1,CLA,1813
2116,1589,VSD1,CLA,1788
2116,1592,VSD1,CLA,1810
2116,1596,VSD1,SOD,1684
2116,1598,VSD1,CLA,1708
2116,1600,VSD1,CLA,1713
2116,1601,VSD1,SOD,1577
2116,1604,VSD1,CLA,1733
2116,1616,VSD1,CLA,1824
2116,1623,VSD1,SOD,1700
2116,1623,VSD1,SOD,1625
2116,1630,VSD1,SOD,1570
2116,1637,VSD1,CLA,1774
2116,1646,VSD1,CLA,1724
2116,1647,VSD1,CLA,1752
2116,1650,VSD1,SOD,1586
2116,1651,VSD1,CLA,1723
2116,1651,VSD1,CLA,1796
2116,1658,VSD1,SOD,1566
2116,1659,VSD1,CLA,1745
2116,1660,VSD1,SOD,1699
2116,1661,VSD1,SOD,1565
2116,1662,VSD1,CLA,1769
2116,1663,VSD1,CLA,1734
