traj_len,frame,region,particle,particle_resid
1594,135,VSD1,CLA,1813
1594,769,VSD1,CLA,1827
1594,855,VSD1,CLA,1726
1594,935,VSD1,CLA,1765
1594,969,VSD1,CLA,1724
1594,995,VSD1,CLA,1842
1594,1056,VSD1,SOD,1660
1594,1066,VSD1,CLA,1739
1594,1070,VSD1,CLA,1797
1594,1086,VSD2,CLA,1745
1594,1108,VSD1,CLA,1823
1594,1117,VSD1,CLA,1814
1594,1132,VSD1,SOD,1691
1594,1150,VSD1,CLA,1789
1594,1163,VSD1,CLA,1749
1594,1164,VSD2,SOD,1695
1594,1188,VSD1,SOD,1629
1594,1211,VSD2,CLA,1796
1594,1214,VSD1,CLA,1778
1594,1235,VSD2,CLA,1753
1594,1261,VSD1,CLA,1716
1594,1267,VSD2,CLA,1847
1594,1275,VSD1,CLA,1714
1594,1285,VSD1,CLA,1763
1594,1287,VSD1,CLA,1838
1594,1296,VSD4,CLA,1808
1594,1307,VSD2,SOD,1700
1594,1316,VSD2,SOD,1693
1594,1333,VSD1,CLA,1706
1594,1343,VSD1,CLA,1804
1594,1344,VSD4,SOD,1586
1594,1352,VSD2,CLA,1743
1594,1353,VSD1,CLA,1786
1594,1354,VSD1,CLA,1755
1594,1368,VSD2,CLA,1759
1594,1372,VSD1,CLA,1764
1594,1375,VSD1,SOD,1579
1594,1383,VSD2,SOD,1627
1594,1384,VSD2,CLA,1779
1594,1391,VSD1,CLA,1850
1594,1393,VSD2,SOD,1574
1594,1394,VSD2,CLA,1768
1594,1395,VSD2,SOD,1596
1594,1397,VSD1,CLA,1738
1594,1400,VSD1,CLA,1717
1594,1400,VSD1,CLA,1744
1594,1412,VSD2,SOD,1578
1594,1412,VSD2,CLA,1792
1594,1419,VSD1,CLA,1801
1594,1425,VSD1,CLA,1780
1594,1427,VSD4,CLA,1731
1594,1432,VSD2,CLA,1727
1594,1437,VSD2,SOD,1576
1594,1439,VSD1,CLA,1791
1594,1442,VSD2,SOD,1595
1594,1446,VSD1,CLA,1712
1594,1447,VSD2,SOD,1567
1594,1449,VSD1,CLA,1776
1594,1454,VSD1,CLA,1810
1594,1457,VSD1,CLA,1729
1594,1457,VSD2,SOD,1652
1594,1462,VSD2,SOD,1654
1594,1465,VSD2,CLA,1754
1594,1472,VSD1,CLA,1772
1594,1480,VSD2,CLA,1769
1594,1482,VSD1,SOD,1688
1594,1487,VSD2,CLA,1783
