traj_len,frame,region,particle,particle_resid
1594,1104,VSD2,['P'],[1218]
1594,1108,VSD2,['P'],[1218]
1594,1109,VSD2,['P'],[1218]
1594,1110,VSD2,['P'],[1218]
1594,1111,VSD2,['P'],[1218]
1594,1112,VSD2,['P'],[1218]
1594,1115,VSD2,['P'],[1218]
1594,1116,VSD2,['P'],[1218]
1594,1117,VSD2,['P'],[1218]
1594,1119,VSD2,['P'],[1218]
1594,1121,VSD2,['P'],[1218]
1594,1125,VSD2,['P'],[1218]
1594,1131,VSD2,['P'],[1218]
1594,1160,VSD2,['P'],[1218]
1594,1161,VSD2,['P'],[1218]
1594,1163,VSD2,['P'],[1218]
1594,1165,VSD2,['P'],[1218]
1594,1169,VSD2,['P'],[1218]
1594,1205,VSD2,['P'],[1218]
1594,1221,VSD2,['P'],[1218]
1594,1224,VSD2,['P'],[1218]
1594,1228,VSD2,['P'],[1218]
1594,1229,VSD2,['P'],[1218]
1594,1234,VSD2,['P'],[1218]
1594,1246,VSD2,['P'],[1179]
1594,1247,VSD2,['P'],[1179]
1594,1248,VSD2,['P'],[1179]
1594,1251,VSD2,['P'],[1179]
1594,1252,VSD2,['P'],[1179]
1594,1253,VSD2,['P'],[1179]
1594,1254,VSD2,['P'],[1179]
1594,1255,VSD2,['P'],[1179]
1594,1256,VSD2,['P'],[1179]
1594,1257,VSD2,['P'],[1179]
1594,1258,VSD2,['P'],[1179]
1594,1259,VSD2,['P'],[1179]
1594,1260,VSD2,['P'],[1179]
1594,1261,VSD2,['P'],[1179]
1594,1262,VSD2,['P'],[1179]
1594,1263,VSD2,['P'],[1179]
1594,1264,VSD2,['P'],[1179]
1594,1265,VSD2,['P'],[1179]
1594,1266,VSD2,['P'],[1179]
1594,1267,VSD2,['P'],[1179]
1594,1268,VSD2,['P'],[1179]
1594,1269,VSD2,['P'],[1179]
1594,1270,VSD2,['P'],[1179]
1594,1271,VSD2,['P'],[1179]
1594,1272,VSD2,['P'],[1179]
1594,1273,VSD2,['P'],[1179]
1594,1274,VSD2,['P'],[1179]
1594,1275,VSD2,['P'],[1179]
1594,1276,VSD2,['P'],[1179]
1594,1277,VSD2,['P'],[1179]
1594,1278,VSD2,['P'],[1179]
1594,1279,VSD2,['P'],[1179]
1594,1280,VSD2,['P'],[1179]
1594,1281,VSD2,['P'],[1179]
1594,1282,VSD2,['P'],[1179]
1594,1283,VSD2,['P'],[1179]
1594,1284,VSD2,['P'],[1179]
1594,1285,VSD2,['P'],[1179]
1594,1286,VSD2,['P'],[1179]
1594,1287,VSD2,['P'],[1179]
1594,1288,VSD2,['P'],[1179]
1594,1289,VSD2,['P'],[1179]
1594,1290,VSD2,['P'],[1179]
1594,1291,VSD2,['P'],[1179]
1594,1292,VSD2,['P'],[1179]
1594,1293,VSD2,['P'],[1179]
1594,1294,VSD2,['P'],[1179]
1594,1296,VSD2,['P'],[1179]
1594,1297,VSD2,['P'],[1179]
1594,1298,VSD2,['P'],[1179]
1594,1299,VSD2,['P'],[1179]
1594,1300,VSD2,['P'],[1179]
1594,1302,VSD2,['P'],[1179]
1594,1303,VSD2,['P'],[1179]
1594,1304,VSD2,['P'],[1179]
1594,1305,VSD2,['P'],[1179]
1594,1306,VSD2,['P'],[1179]
1594,1307,VSD2,['P'],[1179]
1594,1311,VSD2,['P'],[1179]
1594,1312,VSD2,['P'],[1179]
1594,1313,VSD2,['P'],[1179]
1594,1315,VSD2,['P'],[1179]
1594,1317,VSD2,['P'],[1179]
1594,1325,VSD2,['P'],[1179]
1594,1328,VSD1,['P'],[1375]
1594,1329,VSD1,['P'],[1375]
1594,1334,VSD1,['P'],[1375]
1594,1336,VSD1,['P'],[1375]
1594,1337,VSD1,['P'],[1375]
1594,1338,VSD1,['P'],[1375]
1594,1339,VSD1,['P'],[1375]
1594,1340,VSD1,['P'],[1375]
1594,1343,VSD1,['P'],[1375]
1594,1344,VSD1,['P'],[1375]
1594,1345,VSD1,['P'],[1375]
1594,1346,VSD1,['P'],[1375]
1594,1347,VSD1,['P'],[1375]
1594,1349,VSD1,['P'],[1375]
1594,1350,VSD1,['P'],[1375]
1594,1351,VSD1,['P'],[1375]
1594,1353,VSD1,['P'],[1375]
1594,1354,VSD1,['P'],[1375]
1594,1355,VSD1,['P'],[1375]
1594,1356,VSD1,['P'],[1375]
1594,1357,VSD1,['P'],[1375]
1594,1358,VSD1,['P'],[1375]
1594,1359,VSD1,['P'],[1375]
1594,1360,VSD1,['P'],[1375]
1594,1361,VSD1,['P'],[1375]
1594,1362,VSD1,['P'],[1375]
1594,1363,VSD1,['P'],[1375]
1594,1364,VSD1,['P'],[1375]
1594,1366,VSD1,['P'],[1375]
1594,1367,VSD1,['P'],[1375]
1594,1368,VSD1,['P'],[1375]
1594,1369,VSD1,['P'],[1375]
1594,1370,VSD1,['P'],[1375]
1594,1371,VSD1,['P'],[1375]
1594,1372,VSD1,['P'],[1375]
1594,1373,VSD1,['P'],[1375]
1594,1374,VSD1,['P'],[1375]
1594,1375,VSD1,['P'],[1375]
1594,1376,VSD1,['P'],[1375]
1594,1377,VSD1,['P'],[1375]
1594,1379,VSD1,['P'],[1375]
1594,1380,VSD1,['P'],[1375]
1594,1381,VSD1,['P'],[1375]
1594,1382,VSD1,['P'],[1375]
1594,1383,VSD1,['P'],[1375]
1594,1384,VSD1,['P'],[1375]
1594,1387,VSD1,['P'],[1375]
1594,1389,VSD1,['P'],[1375]
1594,1390,VSD1,['P'],[1375]
1594,1391,VSD1,['P'],[1375]
1594,1392,VSD1,"['P', 'P']","[1190, 1375]"
1594,1393,VSD1,['P'],[1375]
1594,1394,VSD1,"['P', 'P']","[1190, 1375]"
1594,1395,VSD1,['P'],[1375]
1594,1396,VSD1,['P'],[1375]
1594,1397,VSD1,['P'],[1375]
1594,1398,VSD1,['P'],[1375]
1594,1399,VSD1,['P'],[1375]
1594,1400,VSD1,['P'],[1375]
1594,1401,VSD1,['P'],[1375]
1594,1403,VSD1,['P'],[1375]
1594,1405,VSD1,['P'],[1375]
1594,1407,VSD1,['P'],[1375]
1594,1410,VSD1,['P'],[1375]
1594,1411,VSD1,['P'],[1375]
1594,1412,VSD1,['P'],[1375]
1594,1428,VSD4,['P'],[1159]
1594,1429,VSD1,['P'],[1375]
1594,1432,VSD4,['P'],[1159]
1594,1441,VSD1,['P'],[1375]
1594,1444,VSD1,['P'],[1190]
1594,1445,VSD1,['P'],[1375]
1594,1448,VSD1,['P'],[1375]
1594,1450,VSD1,['P'],[1375]
1594,1451,VSD1,"['P', 'P']","[1190, 1375]"
1594,1452,VSD1,['P'],[1375]
1594,1453,VSD1,['P'],[1375]
1594,1454,VSD1,['P'],[1375]
1594,1455,VSD1,['P'],[1375]
1594,1456,VSD1,['P'],[1375]
1594,1457,VSD1,['P'],[1375]
1594,1458,VSD1,"['P', 'P']","[1190, 1375]"
1594,1459,VSD1,"['P', 'P']","[1190, 1375]"
1594,1460,VSD1,['P'],[1375]
1594,1461,VSD1,['P'],[1375]
1594,1462,VSD1,"['P', 'P']","[1190, 1375]"
1594,1463,VSD1,"['P', 'P']","[1190, 1375]"
1594,1464,VSD1,"['P', 'P']","[1190, 1375]"
