traj_len,frame,region,particle,particle_resid
4018,3152,VSD2,['P'],[1218]
4018,3153,VSD2,['P'],[1218]
4018,3154,VSD2,['P'],[1218]
4018,3156,VSD2,['P'],[1218]
4018,3157,VSD2,['P'],[1218]
4018,3158,VSD2,['P'],[1218]
4018,3159,VSD2,['P'],[1218]
4018,3160,VSD2,['P'],[1218]
4018,3177,VSD2,['P'],[1218]
4018,3180,VSD2,['P'],[1371]
4018,3181,VSD2,['P'],[1371]
4018,3182,VSD2,['P'],[1371]
4018,3183,VSD2,['P'],[1371]
4018,3184,VSD2,['P'],[1371]
4018,3186,VSD2,['P'],[1371]
4018,3187,VSD2,['P'],[1371]
4018,3188,VSD2,['P'],[1371]
4018,3189,VSD2,['P'],[1371]
4018,3190,VSD2,['P'],[1371]
4018,3191,VSD2,"['P', 'P']","[1218, 1371]"
4018,3192,VSD2,['P'],[1371]
4018,3193,VSD2,"['P', 'P']","[1218, 1371]"
4018,3194,VSD2,['P'],[1371]
4018,3195,VSD2,"['P', 'P']","[1218, 1371]"
4018,3196,VSD2,['P'],[1371]
4018,3197,VSD2,['P'],[1371]
4018,3198,VSD2,"['P', 'P']","[1218, 1371]"
4018,3199,VSD2,"['P', 'P']","[1218, 1371]"
4018,3200,VSD2,['P'],[1371]
4018,3201,VSD2,['P'],[1371]
4018,3202,VSD2,['P'],[1371]
4018,3203,VSD2,['P'],[1371]
4018,3204,VSD2,['P'],[1371]
4018,3205,VSD2,['P'],[1371]
4018,3206,VSD2,['P'],[1371]
4018,3207,VSD2,['P'],[1371]
4018,3208,VSD2,['P'],[1371]
4018,3209,VSD2,['P'],[1371]
4018,3210,VSD2,['P'],[1371]
4018,3212,VSD2,['P'],[1371]
4018,3213,VSD2,['P'],[1371]
4018,3215,VSD2,['P'],[1371]
4018,3217,VSD2,['P'],[1371]
4018,3223,VSD2,['P'],[1371]
4018,3226,VSD2,['P'],[1371]
4018,3227,VSD2,['P'],[1371]
4018,3228,VSD2,['P'],[1371]
4018,3233,VSD2,['P'],[1371]
4018,3234,VSD2,['P'],[1371]
4018,3235,VSD2,['P'],[1371]
4018,3236,VSD2,['P'],[1371]
4018,3237,VSD2,['P'],[1371]
4018,3238,VSD2,['P'],[1371]
4018,3240,VSD2,['P'],[1218]
4018,3241,VSD2,['P'],[1218]
4018,3242,VSD2,['P'],[1218]
4018,3243,VSD2,['P'],[1218]
4018,3244,VSD2,"['P', 'P']","[1218, 1371]"
4018,3245,VSD2,"['P', 'P']","[1218, 1371]"
4018,3246,VSD2,"['P', 'P']","[1218, 1371]"
4018,3247,VSD2,['P'],[1371]
4018,3248,VSD2,"['P', 'P']","[1218, 1371]"
4018,3249,VSD2,['P'],[1371]
4018,3250,VSD2,['P'],[1371]
4018,3251,VSD2,['P'],[1371]
4018,3252,VSD2,"['P', 'P']","[1218, 1371]"
4018,3253,VSD2,"['P', 'P']","[1218, 1371]"
4018,3254,VSD2,"['P', 'P']","[1218, 1371]"
4018,3255,VSD2,['P'],[1218]
4018,3256,VSD2,['P'],[1218]
4018,3257,VSD2,['P'],[1218]
4018,3258,VSD2,['P'],[1218]
4018,3263,VSD2,['P'],[1218]
4018,3265,VSD2,['P'],[1218]
4018,3266,VSD2,['P'],[1218]
4018,3267,VSD2,"['P', 'P']","[1218, 1371]"
4018,3268,VSD2,"['P', 'P']","[1218, 1371]"
4018,3269,VSD2,"['P', 'P']","[1218, 1371]"
4018,3270,VSD2,"['P', 'P']","[1218, 1371]"
4018,3271,VSD2,"['P', 'P']","[1218, 1371]"
4018,3272,VSD2,['P'],[1218]
4018,3273,VSD2,"['P', 'P']","[1218, 1371]"
4018,3274,VSD2,"['P', 'P']","[1218, 1371]"
4018,3275,VSD2,"['P', 'P']","[1218, 1371]"
4018,3276,VSD2,['P'],[1218]
4018,3277,VSD2,"['P', 'P']","[1218, 1371]"
4018,3278,VSD2,"['P', 'P']","[1218, 1371]"
4018,3279,VSD2,"['P', 'P']","[1218, 1371]"
4018,3280,VSD2,"['P', 'P']","[1218, 1371]"
4018,3281,VSD2,"['P', 'P']","[1218, 1371]"
4018,3282,VSD2,"['P', 'P']","[1218, 1371]"
4018,3283,VSD2,"['P', 'P']","[1218, 1371]"
4018,3284,VSD2,"['P', 'P']","[1218, 1371]"
4018,3285,VSD2,"['P', 'P']","[1218, 1371]"
4018,3286,VSD2,"['P', 'P']","[1218, 1371]"
4018,3287,VSD2,"['P', 'P']","[1218, 1371]"
4018,3288,VSD2,"['P', 'P']","[1218, 1371]"
4018,3289,VSD2,"['P', 'P']","[1218, 1371]"
4018,3290,VSD2,"['P', 'P']","[1218, 1371]"
4018,3291,VSD2,"['P', 'P']","[1218, 1371]"
4018,3292,VSD2,"['P', 'P']","[1218, 1371]"
4018,3293,VSD2,"['P', 'P']","[1218, 1371]"
4018,3294,VSD2,"['P', 'P']","[1218, 1371]"
4018,3295,VSD2,['P'],[1371]
4018,3296,VSD2,['P'],[1371]
4018,3297,VSD2,['P'],[1371]
4018,3298,VSD2,['P'],[1371]
4018,3299,VSD2,['P'],[1371]
4018,3300,VSD2,['P'],[1371]
4018,3301,VSD2,['P'],[1371]
4018,3302,VSD2,['P'],[1371]
4018,3303,VSD2,['P'],[1371]
4018,3304,VSD2,['P'],[1371]
4018,3305,VSD2,['P'],[1371]
4018,3306,VSD2,['P'],[1371]
4018,3307,VSD2,"['P', 'P']","[1218, 1371]"
4018,3308,VSD2,"['P', 'P']","[1218, 1371]"
4018,3309,VSD2,"['P', 'P']","[1218, 1371]"
4018,3310,VSD2,['P'],[1371]
4018,3311,VSD2,['P'],[1371]
4018,3312,VSD2,['P'],[1371]
4018,3313,VSD2,['P'],[1371]
4018,3314,VSD2,['P'],[1371]
4018,3315,VSD2,['P'],[1371]
