traj_len,frame,region,particle,particle_resid
10572,9124,VSD2,['P'],[1278]
10572,9187,VSD2,['P'],[1278]
10572,9192,VSD2,['P'],[1278]
10572,9193,VSD2,['P'],[1278]
10572,9197,VSD2,['P'],[1278]
10572,9198,VSD2,['P'],[1278]
10572,9199,VSD2,['P'],[1278]
10572,9200,VSD2,['P'],[1278]
10572,9201,VSD2,['P'],[1278]
10572,9202,VSD2,['P'],[1278]
10572,9203,VSD2,['P'],[1278]
10572,9204,VSD2,['P'],[1278]
10572,9205,VSD2,['P'],[1278]
10572,9206,VSD2,['P'],[1278]
10572,9207,VSD2,['P'],[1278]
10572,9208,VSD2,['P'],[1278]
10572,9209,VSD2,['P'],[1278]
10572,9214,VSD2,['P'],[1278]
10572,9215,VSD2,['P'],[1278]
10572,9217,VSD2,['P'],[1278]
10572,9218,VSD2,['P'],[1278]
10572,9219,VSD2,['P'],[1278]
10572,9223,VSD2,['P'],[1278]
10572,9224,VSD2,['P'],[1278]
10572,9225,VSD2,['P'],[1278]
10572,9230,VSD2,['P'],[1278]
10572,9231,VSD2,['P'],[1278]
10572,9234,VSD2,['P'],[1278]
10572,9244,VSD2,['P'],[1278]
10572,9245,VSD2,['P'],[1278]
10572,9246,VSD2,['P'],[1278]
10572,9247,VSD2,['P'],[1278]
10572,9248,VSD2,['P'],[1278]
10572,9249,VSD2,['P'],[1278]
10572,9250,VSD2,['P'],[1278]
10572,9251,VSD2,['P'],[1278]
10572,9252,VSD2,['P'],[1278]
10572,9253,VSD2,['P'],[1278]
10572,9254,VSD2,['P'],[1278]
10572,9255,VSD2,['P'],[1278]
10572,9256,VSD2,['P'],[1278]
10572,9257,VSD2,['P'],[1278]
10572,9258,VSD2,['P'],[1278]
10572,9259,VSD2,['P'],[1278]
10572,9260,VSD2,['P'],[1278]
10572,9261,VSD2,['P'],[1278]
10572,9262,VSD2,['P'],[1278]
10572,9263,VSD2,['P'],[1278]
10572,9264,VSD2,['P'],[1278]
10572,9265,VSD2,['P'],[1278]
10572,9266,VSD2,['P'],[1278]
10572,9267,VSD2,['P'],[1278]
10572,9268,VSD2,['P'],[1278]
