traj_len,frame,region,particle,particle_resid
4731,3530,VSD2,['P'],[1428]
4731,3531,VSD2,['P'],[1428]
4731,3538,VSD2,['P'],[1428]
4731,3540,VSD2,['P'],[1428]
4731,3541,VSD2,['P'],[1428]
4731,3559,VSD2,['P'],[1428]
4731,3563,VSD2,['P'],[1428]
4731,3564,VSD2,['P'],[1428]
4731,3568,VSD2,['P'],[1428]
4731,3569,VSD2,['P'],[1428]
4731,3572,VSD2,['P'],[1428]
4731,3574,VSD2,['P'],[1428]
4731,3576,VSD2,['P'],[1428]
4731,3578,VSD2,['P'],[1428]
4731,3581,VSD2,['P'],[1428]
4731,3582,VSD2,['P'],[1428]
4731,3584,VSD2,['P'],[1428]
4731,3586,VSD2,['P'],[1428]
4731,3587,VSD2,['P'],[1428]
4731,3588,VSD2,['P'],[1428]
4731,3589,VSD2,['P'],[1428]
4731,3590,VSD2,['P'],[1428]
4731,3591,VSD2,['P'],[1428]
4731,3611,VSD2,['P'],[1428]
4731,3614,VSD2,['P'],[1428]
4731,3615,VSD2,['P'],[1428]
4731,3618,VSD2,['P'],[1428]
4731,3619,VSD2,['P'],[1428]
4731,3620,VSD2,['P'],[1428]
4731,3621,VSD2,['P'],[1428]
4731,3622,VSD2,['P'],[1428]
4731,3627,VSD2,['P'],[1428]
4731,3629,VSD2,['P'],[1428]
4731,3631,VSD2,['P'],[1428]
4731,3632,VSD2,['P'],[1428]
4731,3638,VSD2,['P'],[1428]
4731,3639,VSD2,['P'],[1428]
4731,3641,VSD2,['P'],[1428]
4731,3642,VSD2,['P'],[1428]
4731,3644,VSD2,['P'],[1428]
4731,3751,VSD2,['P'],[1428]
4731,3764,VSD2,['P'],[1428]
4731,4009,VSD2,['P'],[1428]
4731,4010,VSD2,['P'],[1428]
4731,4058,VSD2,['P'],[1428]
4731,4059,VSD2,['P'],[1428]
4731,4060,VSD2,['P'],[1428]
4731,4061,VSD2,['P'],[1428]
4731,4062,VSD2,['P'],[1428]
4731,4063,VSD2,['P'],[1428]
4731,4064,VSD2,['P'],[1428]
4731,4065,VSD2,['P'],[1428]
4731,4066,VSD2,['P'],[1428]
4731,4067,VSD2,['P'],[1428]
4731,4068,VSD2,['P'],[1428]
4731,4069,VSD2,['P'],[1428]
4731,4070,VSD2,['P'],[1428]
4731,4072,VSD2,['P'],[1428]
4731,4073,VSD2,['P'],[1428]
4731,4078,VSD2,['P'],[1428]
4731,4079,VSD2,['P'],[1428]
4731,4080,VSD2,['P'],[1428]
4731,4082,VSD2,"['P', 'P']","[1218, 1428]"
4731,4083,VSD2,"['P', 'P']","[1218, 1428]"
4731,4084,VSD2,['P'],[1218]
4731,4085,VSD2,['P'],[1218]
4731,4188,VSD2,['P'],[1218]
4731,4190,VSD2,['P'],[1218]
4731,4191,VSD2,['P'],[1218]
4731,4192,VSD2,['P'],[1218]
4731,4197,VSD2,['P'],[1218]
4731,4200,VSD2,['P'],[1218]
4731,4201,VSD2,['P'],[1218]
4731,4202,VSD2,['P'],[1218]
4731,4203,VSD2,['P'],[1218]
4731,4204,VSD2,['P'],[1218]
4731,4208,VSD2,['P'],[1218]
4731,4210,VSD2,['P'],[1218]
4731,4211,VSD2,['P'],[1218]
4731,4212,VSD2,['P'],[1218]
4731,4213,VSD2,['P'],[1218]
4731,4214,VSD2,['P'],[1218]
4731,4215,VSD2,['P'],[1218]
4731,4216,VSD2,['P'],[1218]
4731,4217,VSD2,['P'],[1218]
4731,4218,VSD2,['P'],[1218]
4731,4219,VSD2,['P'],[1218]
4731,4221,VSD2,['P'],[1218]
4731,4222,VSD2,['P'],[1218]
4731,4223,VSD2,['P'],[1218]
4731,4230,VSD2,['P'],[1218]
4731,4231,VSD2,['P'],[1218]
4731,4232,VSD2,['P'],[1218]
4731,4233,VSD2,['P'],[1218]
4731,4234,VSD2,['P'],[1218]
4731,4235,VSD2,['P'],[1218]
4731,4237,VSD2,['P'],[1218]
4731,4247,VSD2,['P'],[1218]
4731,4248,VSD2,['P'],[1218]
4731,4249,VSD2,['P'],[1218]
