traj_len,frame,region,particle,particle_resid
17128,13782,VSD1,['P'],[np.int64(1173)]
17128,13783,VSD1,['P'],[np.int64(1173)]
17128,13784,VSD1,['P'],[np.int64(1173)]
17128,13785,VSD1,['P'],[np.int64(1173)]
17128,13786,VSD1,['P'],[np.int64(1173)]
17128,13787,VSD1,['P'],[np.int64(1173)]
17128,13788,VSD1,['P'],[np.int64(1173)]
17128,13790,VSD1,['P'],[np.int64(1173)]
17128,13792,VSD1,['P'],[np.int64(1173)]
17128,13793,VSD1,['P'],[np.int64(1173)]
17128,13794,VSD1,['P'],[np.int64(1173)]
17128,13795,VSD1,['P'],[np.int64(1173)]
17128,13804,VSD1,['P'],[np.int64(1173)]
17128,13809,VSD1,['P'],[np.int64(1173)]
17128,13812,VSD1,['P'],[np.int64(1173)]
17128,13813,VSD1,['P'],[np.int64(1173)]
17128,13817,VSD1,['P'],[np.int64(1173)]
17128,13818,VSD1,['P'],[np.int64(1173)]
17128,13819,VSD1,['P'],[np.int64(1173)]
17128,13821,VSD1,['P'],[np.int64(1173)]
17128,13822,VSD1,['P'],[np.int64(1173)]
17128,13823,VSD1,['P'],[np.int64(1173)]
17128,13824,VSD1,['P'],[np.int64(1173)]
17128,13825,VSD1,['P'],[np.int64(1173)]
17128,13826,VSD1,['P'],[np.int64(1173)]
17128,13827,VSD1,['P'],[np.int64(1173)]
17128,13828,VSD1,['P'],[np.int64(1173)]
17128,13829,VSD1,['P'],[np.int64(1173)]
17128,13830,VSD1,['P'],[np.int64(1173)]
17128,13831,VSD1,['P'],[np.int64(1173)]
17128,13832,VSD1,['P'],[np.int64(1173)]
17128,13833,VSD1,['P'],[np.int64(1173)]
17128,13834,VSD1,['P'],[np.int64(1173)]
17128,13835,VSD1,['P'],[np.int64(1173)]
17128,13836,VSD1,['P'],[np.int64(1173)]
17128,13837,VSD1,['P'],[np.int64(1173)]
17128,13838,VSD1,['P'],[np.int64(1173)]
17128,13839,VSD1,['P'],[np.int64(1173)]
17128,13840,VSD1,['P'],[np.int64(1173)]
17128,13841,VSD1,['P'],[np.int64(1173)]
17128,13842,VSD1,['P'],[np.int64(1173)]
17128,13843,VSD1,['P'],[np.int64(1173)]
17128,13844,VSD1,['P'],[np.int64(1173)]
17128,13845,VSD1,['P'],[np.int64(1173)]
17128,13846,VSD1,['P'],[np.int64(1173)]
17128,13847,VSD1,['P'],[np.int64(1173)]
17128,13848,VSD1,['P'],[np.int64(1173)]
17128,13849,VSD1,['P'],[np.int64(1173)]
17128,13850,VSD1,['P'],[np.int64(1173)]
17128,13851,VSD1,['P'],[np.int64(1173)]
17128,13852,VSD1,['P'],[np.int64(1173)]
17128,13853,VSD1,['P'],[np.int64(1173)]
17128,13854,VSD1,['P'],[np.int64(1173)]
17128,13855,VSD1,['P'],[np.int64(1173)]
17128,13856,VSD1,['P'],[np.int64(1173)]
17128,13857,VSD1,['P'],[np.int64(1173)]
17128,13858,VSD1,['P'],[np.int64(1173)]
17128,13859,VSD1,['P'],[np.int64(1173)]
17128,13860,VSD1,['P'],[np.int64(1173)]
17128,13861,VSD1,['P'],[np.int64(1173)]
17128,13862,VSD1,['P'],[np.int64(1173)]
17128,13863,VSD1,['P'],[np.int64(1173)]
17128,13864,VSD1,['P'],[np.int64(1173)]
17128,13865,VSD1,['P'],[np.int64(1173)]
17128,13866,VSD1,['P'],[np.int64(1173)]
17128,13867,VSD1,['P'],[np.int64(1173)]
17128,13868,VSD1,['P'],[np.int64(1173)]
17128,13869,VSD1,['P'],[np.int64(1173)]
17128,13870,VSD1,['P'],[np.int64(1173)]
17128,13871,VSD1,['P'],[np.int64(1173)]
17128,13872,VSD1,['P'],[np.int64(1173)]
17128,13873,VSD1,['P'],[np.int64(1173)]
17128,13874,VSD1,['P'],[np.int64(1173)]
17128,13875,VSD1,['P'],[np.int64(1173)]
17128,13876,VSD1,['P'],[np.int64(1173)]
17128,13877,VSD1,['P'],[np.int64(1173)]
17128,13878,VSD1,['P'],[np.int64(1173)]
17128,13879,VSD1,['P'],[np.int64(1173)]
17128,13880,VSD1,['P'],[np.int64(1173)]
17128,13881,VSD1,['P'],[np.int64(1173)]
17128,13882,VSD1,['P'],[np.int64(1173)]
17128,13883,VSD1,['P'],[np.int64(1173)]
17128,13884,VSD1,['P'],[np.int64(1173)]
17128,13885,VSD1,['P'],[np.int64(1173)]
17128,13886,VSD1,['P'],[np.int64(1173)]
17128,13887,VSD1,['P'],[np.int64(1173)]
17128,13888,VSD1,['P'],[np.int64(1173)]
17128,13889,VSD1,['P'],[np.int64(1173)]
17128,13890,VSD1,['P'],[np.int64(1173)]
17128,13891,VSD1,['P'],[np.int64(1173)]
17128,13892,VSD1,['P'],[np.int64(1173)]
17128,13893,VSD1,['P'],[np.int64(1173)]
17128,13894,VSD1,['P'],[np.int64(1173)]
17128,13895,VSD1,['P'],[np.int64(1173)]
17128,13896,VSD1,['P'],[np.int64(1173)]
17128,13897,VSD1,['P'],[np.int64(1173)]
17128,13898,VSD1,['P'],[np.int64(1173)]
17128,13899,VSD1,['P'],[np.int64(1173)]
17128,13900,VSD1,['P'],[np.int64(1173)]
17128,13901,VSD1,['P'],[np.int64(1173)]
17128,13902,VSD1,['P'],[np.int64(1173)]
17128,13903,VSD1,['P'],[np.int64(1173)]
17128,13904,VSD1,['P'],[np.int64(1173)]
17128,13905,VSD1,['P'],[np.int64(1173)]
17128,13906,VSD1,['P'],[np.int64(1173)]
17128,13907,VSD1,['P'],[np.int64(1173)]
17128,13908,VSD1,['P'],[np.int64(1173)]
17128,13909,VSD1,['P'],[np.int64(1173)]
17128,13910,VSD1,['P'],[np.int64(1173)]
17128,13911,VSD1,['P'],[np.int64(1173)]
17128,13912,VSD1,['P'],[np.int64(1173)]
17128,13913,VSD1,['P'],[np.int64(1173)]
17128,13914,VSD1,['P'],[np.int64(1173)]
17128,13915,VSD1,['P'],[np.int64(1173)]
17128,13916,VSD1,['P'],[np.int64(1173)]
17128,13917,VSD1,['P'],[np.int64(1173)]
17128,13918,VSD1,['P'],[np.int64(1173)]
17128,13919,VSD1,['P'],[np.int64(1173)]
17128,13920,VSD1,['P'],[np.int64(1173)]
17128,13921,VSD1,['P'],[np.int64(1173)]
17128,13922,VSD1,['P'],[np.int64(1173)]
17128,13923,VSD1,['P'],[np.int64(1173)]
17128,13924,VSD1,['P'],[np.int64(1173)]
