traj_len,frame,region,particle,particle_resid
2777,2292,VSD2,['P'],[np.int64(1207)]
2777,2293,VSD2,['P'],[np.int64(1207)]
2777,2294,VSD2,['P'],[np.int64(1207)]
2777,2295,VSD2,['P'],[np.int64(1207)]
2777,2296,VSD2,['P'],[np.int64(1207)]
2777,2298,VSD2,['P'],[np.int64(1207)]
2777,2299,VSD2,['P'],[np.int64(1207)]
2777,2300,VSD2,['P'],[np.int64(1207)]
2777,2301,VSD2,['P'],[np.int64(1207)]
2777,2302,VSD2,['P'],[np.int64(1207)]
2777,2309,VSD2,['P'],[np.int64(1207)]
2777,2310,VSD2,['P'],[np.int64(1207)]
2777,2311,VSD2,['P'],[np.int64(1207)]
2777,2312,VSD2,['P'],[np.int64(1207)]
2777,2318,VSD2,['P'],[np.int64(1207)]
2777,2322,VSD2,['P'],[np.int64(1207)]
2777,2323,VSD2,['P'],[np.int64(1207)]
2777,2324,VSD2,['P'],[np.int64(1207)]
2777,2325,VSD2,['P'],[np.int64(1207)]
2777,2326,VSD2,['P'],[np.int64(1207)]
2777,2327,VSD2,['P'],[np.int64(1207)]
2777,2328,VSD2,['P'],[np.int64(1207)]
2777,2329,VSD2,['P'],[np.int64(1207)]
2777,2330,VSD2,['P'],[np.int64(1207)]
2777,2331,VSD2,['P'],[np.int64(1207)]
2777,2332,VSD2,['P'],[np.int64(1207)]
2777,2333,VSD2,['P'],[np.int64(1207)]
2777,2334,VSD2,['P'],[np.int64(1207)]
2777,2340,VSD2,['P'],[np.int64(1207)]
2777,2342,VSD2,['P'],[np.int64(1207)]
2777,2363,VSD2,['P'],[np.int64(1207)]
2777,2368,VSD2,['P'],[np.int64(1207)]
2777,2373,VSD2,['P'],[np.int64(1207)]
2777,2391,VSD2,['P'],[np.int64(1207)]
2777,2392,VSD2,['P'],[np.int64(1207)]
2777,2393,VSD2,['P'],[np.int64(1207)]
2777,2394,VSD2,['P'],[np.int64(1207)]
2777,2395,VSD2,['P'],[np.int64(1207)]
2777,2396,VSD2,['P'],[np.int64(1207)]
2777,2403,VSD2,['P'],[np.int64(1207)]
2777,2404,VSD2,['P'],[np.int64(1207)]
2777,2405,VSD2,['P'],[np.int64(1207)]
2777,2406,VSD2,['P'],[np.int64(1207)]
2777,2407,VSD2,['P'],[np.int64(1218)]
2777,2410,VSD2,['P'],[np.int64(1207)]
2777,2411,VSD2,['P'],[np.int64(1207)]
2777,2412,VSD2,['P'],[np.int64(1207)]
2777,2413,VSD2,['P'],[np.int64(1207)]
2777,2415,VSD2,['P'],[np.int64(1207)]
2777,2416,VSD2,['P'],[np.int64(1207)]
2777,2417,VSD2,['P'],[np.int64(1207)]
2777,2418,VSD2,['P'],[np.int64(1207)]
2777,2419,VSD2,['P'],[np.int64(1207)]
2777,2422,VSD2,['P'],[np.int64(1207)]
2777,2476,VSD2,['P'],[np.int64(1172)]
2777,2477,VSD2,['P'],[np.int64(1172)]
2777,2478,VSD2,['P'],[np.int64(1172)]
2777,2479,VSD2,['P'],[np.int64(1172)]
2777,2526,VSD2,['P'],[np.int64(1172)]
2777,2527,VSD2,['P'],[np.int64(1172)]
2777,2530,VSD2,['P'],[np.int64(1172)]
2777,2531,VSD2,['P'],[np.int64(1172)]
2777,2532,VSD2,['P'],[np.int64(1172)]
2777,2533,VSD2,['P'],[np.int64(1172)]
2777,2534,VSD2,['P'],[np.int64(1172)]
2777,2535,VSD2,['P'],[np.int64(1172)]
2777,2537,VSD2,['P'],[np.int64(1172)]
2777,2542,VSD2,['P'],[np.int64(1172)]
2777,2543,VSD2,['P'],[np.int64(1172)]
2777,2544,VSD2,['P'],[np.int64(1172)]
2777,2546,VSD2,['P'],[np.int64(1172)]
2777,2548,VSD2,['P'],[np.int64(1172)]
2777,2549,VSD2,['P'],[np.int64(1172)]
2777,2550,VSD2,['P'],[np.int64(1172)]
2777,2553,VSD2,['P'],[np.int64(1172)]
2777,2555,VSD2,['P'],[np.int64(1172)]
2777,2556,VSD2,['P'],[np.int64(1172)]
2777,2557,VSD2,['P'],[np.int64(1172)]
2777,2558,VSD2,['P'],[np.int64(1172)]
2777,2559,VSD2,['P'],[np.int64(1172)]
2777,2560,VSD2,['P'],[np.int64(1172)]
2777,2561,VSD2,['P'],[np.int64(1172)]
2777,2563,VSD2,['P'],[np.int64(1172)]
2777,2564,VSD2,['P'],[np.int64(1172)]
2777,2565,VSD2,['P'],[np.int64(1172)]
2777,2578,VSD2,['P'],[np.int64(1172)]
2777,2598,VSD2,['P'],[np.int64(1172)]
2777,2600,VSD2,['P'],[np.int64(1172)]
2777,2602,VSD2,['P'],[np.int64(1172)]
2777,2604,VSD2,['P'],[np.int64(1172)]
2777,2608,VSD2,['P'],[np.int64(1172)]
