frame,particle_resid,type,region
3067,1771,CLA,VSD1
3804,1625,SOD,VSD1
3886,1763,CLA,VSD1
3901,1726,CLA,VSD1
4072,1673,SOD,VSD1
4019,1591,SOD,VSD1
4043,1835,CLA,VSD1
4134,1661,SOD,VSD1
4064,1826,CLA,VSD1
4120,1813,CLA,VSD1
4139,1793,CLA,VSD1
4168,1850,CLA,VSD1
4171,1587,SOD,VSD1
4159,1754,CLA,VSD1
4221,1655,SOD,VSD1
4196,1639,SOD,VSD1
4174,1767,CLA,VSD1
4201,1817,CLA,VSD1
4275,1676,SOD,VSD1
4210,1731,CLA,VSD1
4225,1735,CLA,VSD1
4218,1707,CLA,VSD1
4224,1715,CLA,VSD1
4227,1825,CLA,VSD1
4236,1828,CLA,VSD1
4246,1757,CLA,VSD1
4255,1657,SOD,VSD1
4247,1713,CLA,VSD1
4266,1822,CLA,VSD1
4302,1689,SOD,VSD1
4311,1631,SOD,VSD1
4282,1781,CLA,VSD1
4302,1737,CLA,VSD1
4307,1728,CLA,VSD1
4303,1792,CLA,VSD1
4312,1740,CLA,VSD1
4315,1756,CLA,VSD1
4322,1838,CLA,VSD1
4371,1578,SOD,VSD1
4332,1833,CLA,VSD1
4374,1684,SOD,VSD1
4345,1719,CLA,VSD1
4346,1845,CLA,VSD1
4348,1808,CLA,VSD1
4354,1842,CLA,VSD1
4364,1798,CLA,VSD1
4367,1721,CLA,VSD1
4375,1766,CLA,VSD1
4384,1765,CLA,VSD1
4379,1804,CLA,VSD1
4389,1773,CLA,VSD1
4387,1784,CLA,VSD1
4422,1830,CLA,VSD1
4441,1666,SOD,VSD1
4416,1809,CLA,VSD1
4438,1659,SOD,VSD1
4437,1755,CLA,VSD1
4454,1654,SOD,VSD1
4425,1743,CLA,VSD1
4428,1839,CLA,VSD1
4756,1663,SOD,VSD1
4554,1594,SOD,VSD1
4475,1683,SOD,VSD1
4458,1814,CLA,VSD1
4461,1807,CLA,VSD1
4473,1858,CLA,VSD1
4492,1800,CLA,VSD1
4504,1774,CLA,VSD1
4540,1601,SOD,VSD1
4551,1705,SOD,VSD1
4583,1596,SOD,VSD1
4529,1855,CLA,VSD1
4537,1834,CLA,VSD1
4535,1801,CLA,VSD1
4564,1841,CLA,VSD1
4598,1685,SOD,VSD1
4597,1795,CLA,VSD1
4626,1563,SOD,VSD1
4618,1750,CLA,VSD1
4625,1831,CLA,VSD1
4645,1690,SOD,VSD1
4661,1658,SOD,VSD1
4666,1729,CLA,VSD1
4706,1585,SOD,VSD1
4756,1579,SOD,VSD1
4707,1843,CLA,VSD1
4755,1827,CLA,VSD1
4761,1854,CLA,VSD1
4769,1758,CLA,VSD1
4785,1837,CLA,VSD1
4826,1696,SOD,VSD1
4829,1824,CLA,VSD1
4839,1678,SOD,VSD1
4831,1710,CLA,VSD1
4849,1852,CLA,VSD1
4880,1647,SOD,VSD1
4872,1780,CLA,VSD1
4870,1712,CLA,VSD1
4881,1724,CLA,VSD1
