frame,particle_resid,type,region
11942,1721,CLA,VSD1
12645,1737,CLA,VSD1
14220,1726,CLA,VSD1
12659,1772,CLA,VSD1
12796,1716,CLA,VSD1
13317,1792,CLA,VSD1
13405,1805,CLA,VSD1
13629,1763,CLA,VSD1
13672,1762,CLA,VSD1
14638,1736,CLA,VSD1
14423,1708,CLA,VSD1
14381,1836,CLA,VSD1
14481,1807,CLA,VSD1
14642,1826,CLA,VSD1
14740,1751,CLA,VSD1
15252,1790,CLA,VSD1
14782,1777,CLA,VSD1
14955,1719,CLA,VSD1
15181,1694,SOD,VSD1
15276,1769,CLA,VSD1
14905,1623,SOD,VSD1
15141,1785,CLA,VSD1
15377,1723,CLA,VSD1
15431,1739,CLA,VSD1
15311,1727,CLA,VSD1
15446,1846,CLA,VSD1
15512,1642,SOD,VSD1
15500,1845,CLA,VSD1
15519,1756,CLA,VSD1
15506,1848,CLA,VSD1
15500,1741,CLA,VSD1
15530,1842,CLA,VSD1
15574,1817,CLA,VSD1
15587,1728,CLA,VSD1
15606,1806,CLA,VSD1
15588,1693,SOD,VSD1
15603,1648,SOD,VSD1
15617,1820,CLA,VSD1
15647,1798,CLA,VSD1
15702,1725,CLA,VSD1
15689,1746,CLA,VSD1
15688,1587,SOD,VSD1
15816,1714,CLA,VSD1
15708,1663,SOD,VSD1
15701,1793,CLA,VSD1
15714,1821,CLA,VSD1
15765,1847,CLA,VSD1
15750,1599,SOD,VSD1
15762,1665,SOD,VSD1
15823,1654,SOD,VSD1
15810,1776,CLA,VSD1
15829,1765,CLA,VSD1
15859,1839,CLA,VSD1
15857,1614,SOD,VSD1
15882,1755,CLA,VSD1
15916,1696,SOD,VSD1
15902,1801,CLA,VSD1
15905,1843,CLA,VSD1
15913,1814,CLA,VSD1
15973,1759,CLA,VSD1
15975,1652,SOD,VSD1
16044,1822,CLA,VSD1
15989,1573,SOD,VSD1
16043,1812,CLA,VSD1
16011,1724,CLA,VSD1
16029,1698,SOD,VSD1
16066,1827,CLA,VSD1
16047,1641,SOD,VSD1
16129,1771,CLA,VSD1
16072,1689,SOD,VSD1
16083,1784,CLA,VSD1
16098,1789,CLA,VSD1
16104,1618,SOD,VSD1
16103,1823,CLA,VSD1
16128,1729,CLA,VSD1
16393,1747,CLA,VSD1
16137,1713,CLA,VSD1
16151,1575,SOD,VSD1
16145,1734,CLA,VSD1
16158,1852,CLA,VSD1
16159,1780,CLA,VSD1
16169,1679,SOD,VSD1
16182,1710,CLA,VSD1
16168,1775,CLA,VSD1
16179,1688,SOD,VSD1
16179,1825,CLA,VSD1
16183,1853,CLA,VSD1
16199,1752,CLA,VSD1
16193,1692,SOD,VSD1
16190,1681,SOD,VSD1
16189,1779,CLA,VSD1
16200,1742,CLA,VSD1
16202,1650,SOD,VSD1
16211,1743,CLA,VSD1
16212,1699,SOD,VSD1
16210,1670,SOD,VSD1
16223,1824,CLA,VSD1
16226,1786,CLA,VSD1
16229,1787,CLA,VSD1
16232,1625,SOD,VSD1
16249,1802,CLA,VSD1
16255,1633,SOD,VSD1
16256,1632,SOD,VSD1
16267,1810,CLA,VSD1
16277,1706,CLA,VSD1
16298,1844,CLA,VSD1
16285,1627,SOD,VSD1
16291,1637,SOD,VSD1
16301,1644,SOD,VSD1
16284,1732,CLA,VSD1
16290,1794,CLA,VSD1
16299,1851,CLA,VSD1
16330,1687,SOD,VSD1
16361,1653,SOD,VSD1
16339,1571,SOD,VSD1
16332,1830,CLA,VSD1
16336,1841,CLA,VSD1
16340,1818,CLA,VSD1
16349,1703,SOD,VSD1
16348,1731,CLA,VSD1
16346,1799,CLA,VSD1
16353,1564,SOD,VSD1
16381,1709,CLA,VSD1
16397,1634,SOD,VSD1
16417,1672,SOD,VSD1
16405,1718,CLA,VSD1
16452,1596,SOD,VSD1
16415,1838,CLA,VSD1
16432,1715,CLA,VSD1
16455,1730,CLA,VSD1
16453,1766,CLA,VSD1
16454,1754,CLA,VSD1
16459,1774,CLA,VSD1
16466,1778,CLA,VSD1
16472,1804,CLA,VSD1
16467,1795,CLA,VSD1
16469,1697,SOD,VSD1
16472,1745,CLA,VSD1
16514,1691,SOD,VSD1
16496,1673,SOD,VSD1
16503,1735,CLA,VSD1
16498,1668,SOD,VSD1
16515,1631,SOD,VSD1
16523,1645,SOD,VSD1
16519,1584,SOD,VSD1
16526,1603,SOD,VSD1
16530,1707,CLA,VSD1
16557,1770,CLA,VSD1
16533,1738,CLA,VSD1
16555,1674,SOD,VSD1
16563,1601,SOD,VSD1
16573,1828,CLA,VSD1
16575,1764,CLA,VSD1
16602,1576,SOD,VSD1
16607,1563,SOD,VSD1
16632,1612,SOD,VSD1
16636,1615,SOD,VSD1
16622,1606,SOD,VSD1
16639,1568,SOD,VSD1
16664,1835,CLA,VSD1
16645,1704,SOD,VSD1
16662,1613,SOD,VSD1
16658,1796,CLA,VSD1
16687,1567,SOD,VSD1
16664,1800,CLA,VSD1
16676,1661,SOD,VSD1
16681,1813,CLA,VSD1
16679,1744,CLA,VSD1
16710,1585,SOD,VSD1
16726,1855,CLA,VSD1
16741,1675,SOD,VSD1
16742,1767,CLA,VSD1
16757,1657,SOD,VSD1
16771,1566,SOD,VSD1
16769,1854,CLA,VSD1
16774,1840,CLA,VSD1
16781,1753,CLA,VSD1
16804,1583,SOD,VSD1
16792,1837,CLA,VSD1
16802,1577,SOD,VSD1
16844,1590,SOD,VSD1
16862,1678,SOD,VSD1
16867,1788,CLA,VSD1
