trajectory,frame,resids,check
EF2100mV_dep_run1,1031,[1643 1659],OK
EF2100mV_dep_run2,1480,[1639 1641 1670 1785],VMD
EF2100mV_dep_run3,2094,[1776 1789],OK
EF2100mV_dep_run4,1590,[1898 1964],OK
EF2100mV_hyp_run1,2211,[1921 1924],OK
EF2100mV_hyp_run2,1201,[1867 1921],OK
EF2100mV_hyp_run3,1092,[1527 2028],OK
EF2100mV_hyp_run4,1510,[1586 1876 1994 2015],VMD
EF1800mV_dep_run1,1510,[1527 1589 1702 1732 1789],VMD
EF1800mV_dep_run2,3850,[1686 1732],OK
EF1800mV_dep_run3,1410,[1819 1871 1888 2046],VMD
EF1800mV_dep_run4,2365,[1686 1754],OK
EF1800mV_hyp_run1,3040,[1873 2028],OK
EF1800mV_hyp_run2,2073,[1889 2085],OK
EF1800mV_hyp_run3,2712,[1540 1605],OK
EF1800mV_hyp_run4,3770,[1565 1670 1777 1799],VMD
EF1500mV_dep_run1,7435,[1844 1887],OK
EF1500mV_dep_run2,8510,[1606 1755],OK
EF1500mV_dep_run3,10065,[1532 1742],OK
EF1500mV_dep_run4,8467,[1610 1643],OK
EF1500mV_hyp_run1,3506,[1702 1789],OK
EF1500mV_hyp_run2,4161,[1747 1921],OK
EF1500mV_hyp_run3,3600,[1686 1754 1857 1874],VMD
EF1500mV_hyp_run4,7309,[1540 1873],OK
