trajectory,frame,resids,check
EF2100mV_dep_run1,1432,[1185 1190],OK
EF2100mV_dep_run2,1616,[1159 1200],OK
EF2100mV_dep_run3,417,[1218 1270],OK
EF2100mV_dep_run4,1048,[1179 1218],OK
EF2100mV_hyp_run1,3590,[1385 1438 1457 1561],VMD
EF2100mV_hyp_run2,760,[1203 1430 1433 1459 1465 1512],VMD
EF2100mV_hyp_run3,920,[1491 1520 1543 1544],VMD
EF2100mV_hyp_run4,827,[1211 1241],OK
EF1800mV_dep_run1,4510,[1159 1203 1205 1229],VMD
EF1800mV_dep_run2,8814,[1336 1339],OK
EF1800mV_dep_run3,2540,[1172 1241 1264 1286],VMD
EF1800mV_dep_run4,3950,[1177 1207 1218 1286],VMD
EF1800mV_hyp_run1,2990,[1456 1483 1493 1512],VMD
EF1800mV_hyp_run2,2151,[1401 1402],OK
EF1800mV_hyp_run3,2477,[1159 1200],OK
EF1800mV_hyp_run4,4185,[1147 1385],OK
EF1500mV_dep_run1,10120,[1400 1428 1439 1457 1478],VMD
EF1500mV_dep_run2,4326,[1322 1469],OK
EF1500mV_dep_run3,24453,[1146 1265],OK
EF1500mV_dep_run4,23018,[1375 1402],OK
EF1500mV_hyp_run1,16425,[1149 1196],OK
EF1500mV_hyp_run2,6944,[1396 1428],OK
EF1500mV_hyp_run3,5567,[1179 1385],OK
EF1500mV_hyp_run4,5677,[1371 1450],OK
