trajectory,frame,resids,check
EF2100mV_dep_run1,882,[2358 2671],OK
EF2100mV_dep_run2,1438,[2323 2327],OK
EF2100mV_dep_run3,1607,[2577 2611],OK
EF2100mV_dep_run4,1409,[2329 2755],OK
EF2100mV_hyp_run1,1346,[2437 2744],OK
EF2100mV_hyp_run2,1230,[2329 2431 2496 2536 2545 2736],VMD
EF2100mV_hyp_run3,330,[2341 2458 2611 2729],VMD
EF2100mV_hyp_run4,4271,[2664 2808],OK
EF1800mV_dep_run1,5280,[2351 2428 2537 2538],VMD
EF1800mV_dep_run2,4173,[2791 2823],OK
EF1800mV_dep_run3,1111,[2404 2411],OK
EF1800mV_dep_run4,9658,[2284 2427 2473],OK
EF1800mV_hyp_run1,8201,[2343 2722],OK
EF1800mV_hyp_run2,8212,[2811 2824],OK
EF1800mV_hyp_run4,17190,[2276 2376 2386 2435],VMD
